propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,hasLift,floor,labels,neighborhood,newDevelopmentFinished,parkingSpace.parkingSpacePrice
101005092,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5c/8b/ab/1106747897.jpg,MLG40051,55,1700000.0,countryHouse,sale,1105.0,False,15,13,Calle Fernando de los Ríos,Granada,La Zubia,La Zubia,es,37.1188358,-3.5853805,False,https://www.idealista.com/inmueble/101005092/,6608,"Lucas Fox presents this historical estate, the Huerta Grande, Mudejar architectural heritage of the beautiful town of La Zubia.  Just 4 kilometers away from the centre of Granada capital, 10 minutes from the monumental fortress of the Alhambra, and 20 minutes from the airport.    Once owned by the Marquis of Montes, as the stone shield of arms shows on the façade, the palace was used by Manuel de Falla, famous Spanish composer, who spent his summer holidays at the estate.    It was rebuilt in 1840, although ancient notarial deeds show that it is much older, dating back to before the 17th century. La Huerta Grande, a Mudejar-style mansion, is a whole story in a single property. This palace would be perfect for a person who wants to invest in a property of this caliber, to create a boutique hotel or renovate it for private use. The property is in good condition, and would benefit from renovation to maximize its full potential.    We enter through the main private alley, leading to a courtyard with a parking area for 6 cars, and to the old stables as well as to the service and caretaker's property, now converted into 6 independent apartments, each with a kitchen area, living room/ bedroom, and bathroom.    The main area of the property is divided into 2 floors, in addition to the access to a tower overlooking the entire town of La Zubia, Granada and the Sierra Nevada (ski resort just 30 minutes away).    On the ground floor we have 5 rooms, the notary's office, 3 bathrooms, a kitchen, a large dining room with chimney, and two Andalusian patios.    On the upper floor, we find 4 bedrooms with 4 bathrooms, a large living room with a terrace, a large office with library, and 2 kitchens.    The exteriors are very relaxing, with tree shades, cool in the summer, ponds and a swimming pool. The estate has 6,000 sqm, with beautiful gardens, centenary trees of high botanical and historical value, an orchard, and a park.    Contact us for more information about the property as well as to organize a visit.",False,renew,False,1538.0,True,False,False,False,False,False,countryHouse,castillo,"La Zubia, La Zubia",Castle in Calle Fernando de los Ríos,Premium,,,,,,,,
100055843,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/97/6c/b0/1067144288.jpg,JM-202200021,57,215000.0,chalet,sale,206.0,False,4,3,"San Cristóbal, 23",Granada,Huétor-Vega,,es,37.1411924,-3.5635387,True,https://www.idealista.com/inmueble/100055843/,5077,"Semi-detached house in Huétor Vega in the Parque de los Pinos area. It is a beautiful house on 3 floors with a garden on a 272 m² plot. On the main floor, we have a spacious and beautiful living room with direct access to the back garden, a beautiful office-style kitchen with a dining area, a toilet and a bedroom. On the upper floor, we find 3 large bedrooms, one of them with a terrace and an en-suite bathroom and another full bathroom. In the basement, there is a large garage with room for up to 4 vehicles and a large storage room. The house has ducted air conditioning with a hot and cold pump. Do not hesitate to call us at Inmocasa to make your visit. This house has everything you are looking for. PVP indicated does not include taxes or deed expenses. Agency fees not included. **The surfaces expressed on this page are descriptive and approximate. Prices may be subject to change without prior notice.",True,good,False,1044.0,True,True,False,False,False,False,chalet,semidetachedHouse,Huétor-Vega,"Semi-detached house in San Cristóbal, 23",Premium,True,True,,,,,,
96873197,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5d/6a/d4/959135975.jpg,SM-4216,98,459000.0,chalet,sale,511.0,False,5,4,Calle Retama,Granada,Otura,,es,37.08179,-3.62309,False,https://www.idealista.com/inmueble/96873197/,10844,"Do you want to enjoy the house of your dreams? Come see this impressive house, you will fall in love with it as soon as you enter. This wonder has 5 bedrooms, 4 of which have an en-suite bathroom, that privileged space in your home that allows you to expand the feeling of intimacy that your room gives you.. . In addition, the master bedroom has a large dressing room, so you can store all your clothes in the most comfortable way possible. In addition to those 4 full bathrooms, it has two courtesy toilets, one of them in the pool. The kitchen has a large size, you can enjoy cooking your favorite dishes to enjoy them in one of the 3 rooms (living room, dining room, living room) that this home has, or even in its wonderful outdoor space. You also have a room for laundry, with a direct door to the street. On the top floor, you have a large office and a 150-meter solarium terrace with impressive views. In the basement you have a cellar, this is a special space to enjoy meetings with family or friends, it has a fireplace, wine cellar and a really cozy atmosphere.. . On this floor there is also the garage with space for two cars, the boiler room and storage room. The outdoor space is perfect to enjoy a beautiful summer day in its large pool.. . In addition there is drip irrigation throughout the plot. It also has a 1000 liter water tank. As you can see, words fall short to describe this impressive house, call me and come see it, you'll love it!",True,good,False,898.0,True,True,False,False,False,False,chalet,independantHouse,Otura,Detached house in Calle Retama,Premium,True,True,,,,,,
100532037,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4d/77/82/1090835214.jpg,IM-05918,25,250000.0,chalet,sale,145.0,False,4,3,Avenida Cristóbal colón,Granada,Churriana de la Vega,Casco Historico,es,37.151861,-3.6411107,False,https://www.idealista.com/inmueble/100532037/,4715,"INMOCASA GRANADA promotes and sells in the Avda.Christopher Columbus of Churriana de la Vega. Sounds like a very cozy and functional home spread over two floors! The ground floor seems to be well designed to meet the needs of a modern family. The entrance patio is a great feature that allows easy access to the house and parking for the vehicles, which is especially useful in urban areas with little street parking space.The spacious hall is a great addition, providing a welcoming and functional space to receive guests and store shoes and coats. The modern and sunny kitchen-living room combo sounds perfect for spending time with the family, cooking and enjoying the sunny days.The office is an increasingly necessary feature in modern homes, especially for teleworking and studying.The downstairs bathroom is always a plus, especially for visitors.The backyard is wonderful, providing a space to relax and enjoy the outdoors on warm days. Following its distribution, the first floor after disembarking in the distributor, consists of three bedrooms, one of them with a bathroom and private dressing room and bathroom on the first floor.It is a plant specially designed for the comfort and privacy of its inhabitants. The property has heating in all rooms, thanks to the installation of a high energy efficiency hot/cold pump.In addition, it has solar panels that provide hot water in a sustainable way, reducing energy consumption and environmental impact. The house is built with high-quality materials, including porcelain stoneware floors, armored doors and double-glazed metalwork for greater security and thermal and acoustic insulation.In general, it seems that this house has a very well thought out and functional design for modern life Regarding its surroundings, it is close to all the services and expansion areas of the city of Granada (Nevada shopping center, health technology park, schools, banks, leisure areas.).40 minutes from both the coast of Granada and the Sierra Nevada, and if that is not enough, there will soon be a subway stop connecting with the center of the capital. Priced at 250,000 euros, this house is an excellent investment in a high-quality property with all the comforts you need.Do not miss the opportunity to make it your home.Contact us to schedule a visit and discover all its details. Estimated delivery of the house: June 2023.The term may be extended according to the contractual conditions. No fees are charged to the buyer.Expenses of 10% VAT for new construction and IAJD not included.",True,good,False,1724.0,True,True,False,False,False,False,chalet,terracedHouse,"Casco Historico, Churriana de la Vega",Terraced house in Avenida Cristóbal colón,Premium,True,True,,,,,,
100815949,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3b/ce/b5/1099823786.jpg,SM-5847,91,350000.0,chalet,sale,480.0,False,8,2,Calle Hermanos Carazo,Granada,Granada,Zaidín,es,37.1576173,-3.6028501,False,https://www.idealista.com/inmueble/100815949/,2225,"Come and see this wonderful house, when you enter you will notice that it is your home.. . This great house is made to really enjoy it. It has 9 super spacious rooms, in most of them the sun enters. In addition, some of them are on the ground floor, which is also a great advantage. A spectacular living room with fireplace and large windows, also with direct access to a very spacious kitchen, with many possibilities to enjoy large gatherings with family or friends, or simply the warmth and tranquility that the fireplace gives. We have 2 patios, one somewhat inside, but perfect for its coolness and for hanging out or any use that is required. The other patio is spectacular with 85 meters, perfect for putting a pool and enjoying the sun or to enjoy eating and celebrating outdoors free. Also on the roof we have a beautiful terrace fully bathed in sun. The basement has an area of 128 meters, with which many vehicles can be stored or prepared for more housing. Call us and let's see it! *The indicated PVP does not include taxes or Deed expenses. Agency fees not included. **The surfaces expressed on this page are descriptive and approximate. Prices may be subject to change without prior notice.",True,good,False,729.0,True,True,False,False,False,False,chalet,terracedHouse,"Zaidín, Granada",Terraced house in Calle Hermanos Carazo,Premium,True,True,,,,,,
99204959,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d5/d5/59/1036575468.jpg,AF-5564,46,799000.0,chalet,sale,774.0,False,10,6,Calle Albahaca,Granada,Granada,Figares,es,37.1649314,-3.6027172,False,https://www.idealista.com/inmueble/99204959/,1427,"SPECTACULAR CARMEN IN EL ALBAYCIN COMPOSED OF 3 INDEPENDENT HOUSES AND A MIXED BUILDING. Exclusive Property located in the prestigious Albaycin neighborhood. Located in a quiet and spectacular environment, with access a few meters from Gran Vía street. El Carmen is in excellent condition (renovated in 2011) and has a plot of almost 800 m2 distributed in: 3 houses: 140m2/ 484m2/ 150m2 Library Winter lounge/meetings Possibility of building another house (approx 100m2) own private pool Huge garage at street level with room for 2 vehicles with wide access. Bar-barbecue celebration area: bar built with a handle and barbecue made of material It is located in a privileged location due to its spectacular views and magnificent orientation, it has green areas where there are abundant fruit trees. OWN HOME - INVESTMENT - MIXED USE - high profitability can be obtained HOUSES THAT SELL THEMSELVES DUE TO SITUATION, QUALITY AND PRICE! COME SEE IT AND DON'T BE AHEAD OF IT!",True,good,False,1032.0,True,True,False,False,False,False,chalet,independantHouse,"Figares, Granada",Detached house in Calle Albahaca,Premium,True,True,,,,,,
99146461,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/86/cf/1035082083.jpg,0053-01369,62,515000.0,chalet,sale,263.0,False,4,3,"Calle Andarax, 29",Granada,Granada,Albaicín,es,37.1885733,-3.5880122,True,https://www.idealista.com/inmueble/99146461/,1560,"Would you like to live in a Carmen in Granada? Now you can make your dream come true, since we are offering this beautiful house for sale, designed by a renowned architect, privately developed and built by a prestigious construction company in the style of Carmen, with the best materials on the market and with a coefficient of resistance seismic much higher than required by the Earthquake Resistant Construction Standard.The house has 263m2 built, of which 238m2 are useful. The house has 4 bedrooms, the main one with a terrace with spectacular views of Sierra Nevada and Granada, 3 bathrooms and a toilet. The house also has a dining room with two rooms, a tower that fulfills its thermoregulatory function, a ground floor that is a multipurpose room, currently equipped as a yoga room, a spacious garage and a cozy patio with a very well kept. The garden has a small orchard and some other nice things that, like Carmen, she jealously guards. Do not hesitate to ask us for information and we will be happy to show you this beautiful home.",False,good,False,1958.0,False,False,False,False,False,False,chalet,independantHouse,"Albaicín, Granada","Detached house in Calle Andarax, 29",Premium,,,,,,,,
100806372,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/24/9a/30/1099491794.jpg,0053-01549,31,197000.0,flat,sale,114.0,False,2,1,"Calle San Antón, 16",Granada,Granada,Figares,es,37.1718934,-3.6000213,True,https://www.idealista.com/inmueble/100806372/,618,"Do you need a workplace excellently located in the heart of Granada? Perfect! Because here you have a great opportunity to get this wonderful apartment / professional office on Calle San Antón, just a few meters from km. 0 from Granada (Puerta Real). The property is listed as a home in the property registry, so if you are also considering a conversion to a modern loft, that possibility also exists. The apartment has a constructed area of 114m2 of interior surface (of which approximately 100m2 are useful), it is located on the first floor of the building with an elevator and has excellent qualities, as well as an impeccable state of conservation. TO HIGHLIGHT: in terms of qualities, the apartment has floating bamboo flooring, except in the entrance area (paving with hydraulic colored blocks) and archive and bathroom (porcelain stoneware), aluminum windows with an interior finish imitating wood, wooden doors except for individual offices (Securit with steel handles), recessed lighting and A / C hot-cold. LOCATION: its excellent location in the heart of Granada, makes you close to all kinds of services, businesses, notaries and professional offices, so you can comfortably move around for the most important day-to-day procedures. As well as it has excellent public transport options in case you have to receive clients. Do not think about it anymore, you are facing a great opportunity to start working with your company in the center without the need to make any type of reform! The indicated PVP does not include taxes or Deed expenses. The surfaces expressed in this publication are descriptive and approximate. Prices may be subject to change without prior notice. This house is sold without furniture.",True,good,False,1728.0,True,False,False,False,False,False,flat,,"Figares, Granada","Flat in Calle San Antón, 16",Premium,,,True,,,,,
99669891,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/11/64/26/1050754996.jpg,0053-01430,75,229800.0,chalet,sale,230.0,False,4,2,"Calle Escritor Miguel Garrido, 16",Granada,Granada,La Chana,es,37.1920197,-3.6396029,True,https://www.idealista.com/inmueble/99669891/,3985,"In La Bobadilla, a few minutes from the center of the capital, in a quiet environment and well connected to the city center, is this house of 230 m built spread over three floors, and a 204 m plot with a pool, garden areas and a garage.The property has on its first floor a large access porch to the house that leads to a bright hall with a large built-in wardrobe, a living room with moldings presided over by large windows that allow you to see the entire park that is outside, in the background communicating With the living room, a large fully fitted kitchen opens with a bright office area and access to a glazed laundry room that communicates with the garden to enjoy lunch surrounded by greenery or a pleasant dinner on summer nights.Also on this first floor we have a full courtesy bathroom and access door to the ground floor. Indicate that, in plan, the kitchen office was designed to be another bedroom on the ground floor, so it could be again if required. On the ground floor we have a room designed for different uses, be it as a bedroom, office area, storage.etc.On this floor there is also a beautiful rustic living room with a fireplace and ceiling beams, presided over by a beautiful stained glass window that communicates directly with the garage with a large storage area.The garage is equipped with automated doors that make access to the house much more comfortable. On the upper floor, the rest area, is divided into three bedrooms (two of them with built-in wardrobes) and a shared outdoor bathroom.The master bedroom has a balcony with wide unobstructed views of the park.Indicate that the bedrooms are very bright given their good orientation. Outside we can enjoy a garden area with an ""L"" shaped pool and a comfortable relaxation area where you can enjoy the sound of the water from the pillar. Regarding the qualities, the house has marble floors, white aluminum windows of special measures with mosquito nets and bars in all rooms, sapele doors, automatic door in the garage, awnings on terraces, fireplace and oil heating.Air conditioning in living room and bedrooms. Regarding the location, the area has primary and secondary education schools, recreational areas, restaurants, supermarkets.Well connected to the city either by highway or public transport with an urban bus stop 15 meters from the house. If you are looking for a house in Granada at an affordable price, do not hesitate and come and see this fantastic home, it will not leave you indifferent. ""The indicated PVP does not include taxes or deed expenses.The surfaces expressed in this publication are descriptive and approximate.Prices may be subject to change without prior notice.This house is sold without furniture."".",True,good,False,999.0,False,False,True,False,False,False,chalet,,"La Chana, Granada","House in Calle Escritor Miguel Garrido, 16",Premium,,,,,,,,
100334056,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/69/4d/89/1079411805.jpg,0053-01489,41,280000.0,flat,sale,102.0,False,3,2,"Camino Real de los Neveros, 139",Granada,Granada,Bola de Oro,es,37.1569636,-3.5759242,True,https://www.idealista.com/inmueble/100334056/,3025,"Magnificent and sunny house located in the privileged area of El Serrallo, a natural environment due to the height at which it is compared to the rest of the capital and very bright thanks to its South orientation. Completely renovated in 2021, this 102m2 built apartment of which 85m2 is useful, offers very good qualities in tiling, doors, porcelain flooring, 12cm PVC skirting boards, double sinks in both bathrooms, closets, led lamps throughout the house and a beautiful designer kitchen fully equipped. It has city gas heating and centralized hot/cold air conditioning through ducts. It has a comfortable garage for direct parking on arrival without maneuvering from the garage entrance. Communal swimming pool. A home ready to pack your bags and enjoy the sun all day. The indicated PVP does not include taxes or Deed expenses. The surfaces expressed in this publication are descriptive and approximate. Prices may be subject to change without prior notice.",True,good,False,2745.0,False,False,True,False,False,False,flat,,"Bola de Oro, Granada","Flat in Camino Real de los Neveros, 139",Premium,,,True,,,,,
