propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,parkingSpace.parkingSpacePrice,labels,newDevelopmentFinished
100023294,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fc/d9/c9/1096234622.jpg,VS - 180969,29,4,385000.0,flat,sale,82.0,True,2,2,"Calle Juan Manuel Durán González, 52",Las Palmas,Las Palmas de Gran Canaria,Puerto - Canteras,es,Guanarteme,28.1340861,-15.4374825,True,https://www.idealista.com/inmueble/100023294/,1178,"Gilmar Real Estate offers you the opportunity to acquire this exclusive brand new apartment with a private terrace next to Las Canteras Beach, considered the best urban beach in the world. A luxury, now at your fingertips. The eighty-two square meter flat is distributed in an independent kitchen, utility room, living room, two bedrooms and two bathrooms, one of them en suite, as well as a private terrace of about nine square meters. The house has a garage and storage room included in the price. Undoubtedly, a safe bet for the most demanding in one of the most sought-after areas of the city of Las Palmas de Gran Canaria. Information: The sale price does not include transfer taxes, notary fees, registration, or any other that may correspond to the buyer according to law. The exposed data are merely indicative and are subject to involuntary errors or omissions.",True,good,False,True,4695.0,True,False,True,True,False,False,True,True,flat,"Guanarteme, Las Palmas de Gran Canaria","Flat in Calle Juan Manuel Durán González, 52",Top,,,,
91174322,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/82/be/2b/808479213.jpg,EG-151275,35,,700000.0,chalet,sale,380.0,False,5,3,"Carretera a Los Hoyos, 241",Las Palmas,Las Palmas de Gran Canaria,Tafira,es,Tafira,28.0464643,-15.4612789,True,https://www.idealista.com/inmueble/91174322/,8915,"Gilmar puts at your disposal, in this detached house built on a farm of 5.000 m2 in the protected natural area of Bandama, in front of the Caldera, an experience of peace, countryside, luxury and comfort, since its nearly 400 m2 of housing are developed almost entirely on a single floor, with constant communication with the cobbled gardens and dressed in stonework from Arucas. It is a home ready to move into. The environment of the farm is agricultural composed of vineyards and fruit trees. A wonderful rural environment excellently connected to the highway that allows us to reach the city in 12 minutes and the international airport in 17 minutes. Bandama Golf Course at 1.5 kms and El Cortijo at 8 kms. A few meters from the public transport stop and several schools such as the Colegio Hispano Inglés and the Colegio Americano. Its four bedrooms, three bathrooms, living room connected to a modern kitchen, living room, are some of the spaces, although undoubtedly the protagonism belongs to a beautiful porch with enough space to house a comfortable outdoor living room and a dining room, which can be supplied both from the kitchen and from the barbecue area. Pergolas and terraces, tool room, cistern pond, kennel are other constructions on the estate as well as a 130 m2 warehouse whose versatility can satisfy sportsmen, artists and even car collectors.",False,good,False,,1842.0,True,True,False,False,False,False,True,True,chalet,"Tafira, Las Palmas de Gran Canaria","Detached house in Carretera a Los Hoyos, 241",Top,independantHouse,,,
100817494,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/48/26/1099881293.jpg,EG - 183964,47,,925000.0,chalet,sale,438.0,False,5,4,"Quintana, 20",Las Palmas,Las Palmas de Gran Canaria,Centro,es,Ciudad Jardín,28.127585,-15.4339121,True,https://www.idealista.com/inmueble/100817494/,504,"A piece of history of Las Palmas de Gran Canaria in this manor house built in Ciudad Jardín in the twenties, by the architect Miguel Martín Fernández de la Torre and belonging to the Ley-Martín neighborhood. Ciudad Jardín, with its exclusively residential character, is a neighborhood located in the heart of the city, mainly made up of single-family homes with one or two floors, generally landscaped and with large green areas for recreation, among which the Stadium Park, the Doramas Park and Roman Park. A luxury to be able to move on foot through this modern city without having to use a private vehicle. Imposing house with two main floors of about one hundred and eighty-five square meters plus a charming penthouse of about thirty-six square meters with a hundred terrace. The building is located in the center of a plot of five hundred and eighty square meters, occupying approximately one third and the rest being a garden. The areas are very classically distributed with a day area on the ground floor with several rooms, kitchen and service area and the rest area on the first floor with four bedrooms, highlighting the size of the main en-suite room with a spacious bathroom. The road access is found in Campoamor street where several cars can be located between the covered area and the one that is not. It is a house that requires an important update in its condition, although it does not require modifications in its distribution since it can be considered suitable for the family model of modern times. Information: The sale price does not include transfer taxes, notary fees, registration, or any other that may correspond to the buyer according to law. The exposed data are merely indicative and are subject to involuntary errors or omissions.",True,renew,False,,2112.0,True,False,False,False,False,False,True,True,chalet,"Ciudad Jardín, Las Palmas de Gran Canaria","Detached house in Quintana, 20",Top,independantHouse,,,
100798283,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6e/01/0f/1099212035.jpg,RYF - 1ºB,10,1,234000.0,flat,sale,65.0,True,2,1,"Calle Fernando Guanarteme, 96",Las Palmas,Las Palmas de Gran Canaria,Puerto - Canteras,es,Guanarteme,28.1331882,-15.4399695,True,https://www.idealista.com/inmueble/100798283/,1132,"Gilmar offers you the opportunity to acquire a home in the RYF LAS CANTERAS RESIDENTIAL. The location is unbeatable: on Fernando Guanarteme street, on the corner with Velarde street. Right next to Las Canteras beach, the best urban beach in the world. It is not difficult to understand why, since Las Canteras enjoys good weather almost all year round, making it a getaway spot in the capital where clocks seem to stop. In addition, you will have a wide range of public services, such as sports courts, playgrounds, municipal library, restaurants, shops and public parking, among others. The price does not include garage and storage room. Request information without obligation. Information: The sale price does not include taxes of the transmission, notary fees, registration, or any other that according to law may correspond to the buyer. The exposed data are merely indicative and are subject to involuntary errors or omissions.",True,good,False,True,3600.0,True,False,False,False,False,False,True,False,flat,"Guanarteme, Las Palmas de Gran Canaria","Flat in Calle Fernando Guanarteme, 96",Top,,35000.0,,
99859727,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/18/37/a9/1058374829.jpg,VS - 180566,1,4,112000.0,studio,sale,25.0,False,0,1,"Alfredo L Jones, 35",Las Palmas,Las Palmas de Gran Canaria,Puerto - Canteras,es,Santa Catalina - Canteras,28.141922,-15.4330986,True,https://www.idealista.com/inmueble/99859727/,2066,"Gilmar puts at your disposal this studio apartment next to Las Canteras beach. Considered the best urban beach in the world, Las Canteras has good weather almost all year round. The place in the capital where you can escape, walk or play sports any day. The apartment is located on the fourth floor of the Villablanca Building, next to the Reina Isabel hotel. It is currently leased, being a magnificent investment opportunity. Information: The sale price Does not include taxes of transmission, notary fees, registration, or any other that according to law may correspond to the buyer. The exposed data are merely indicative and are subject to involuntary errors or omissions.",False,good,False,True,4480.0,False,False,False,False,False,False,,,flat,"Santa Catalina - Canteras, Las Palmas de Gran Canaria","Studio apartment in Alfredo l Jones, 35",Top,studio,,,
100606296,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/1a/fb/1096618484.jpg,NV - 183164,33,,532000.0,chalet,sale,180.0,False,4,2,Los Alvarados-Fuente los Berros,Las Palmas,Santa Brigida,Los Alvarados-Fuente los Berros,es,,28.0307823,-15.4686,False,https://www.idealista.com/inmueble/100606296/,10791,"GILMAR presents this impressive home that you will fall in love with. From the moment set foot in this house, you will realize that it is much more than just a property. It is a home full of life, light and emotions that will make you feel at home from the first instant. The four rooms of this completely renovated house will welcome you with open arms, each with its own personality and special charm, in addition to its two fully equipped bathrooms for your greatest comfort. The kitchen is a true jewel, with its central island covered in Dekton material and a microcement that invites you to cook and share unique moments. The oak floors give to the house an elegant and sophisticated touch, and the double-glazed windows with thermal break and CORTIZO brand double enclosure in anthracite color guarantee a optimal isolation at the same time that will allow you to enjoy unobstructed views. Lighting is a key element in this house, with indirect lights that create a warm and welcoming atmosphere in all rooms. The fireplace in the living room is the perfect place to enjoy a winter afternoon with a good movie or a good book in hand. It also has centralized air conditioning by means of a heat pump that makes the comfort a luxury in each of the rooms and seasons of the year. But what really makes this house special is the feeling of home that invades you from the first moment. It is a place where you can create lasting memories with your loved ones and where you can enjoy life at its best. The 450 square meter plot with a parking area for two vehicles with WALLBOX type electric car charger will allow you to enjoy sustainable mobility, and the location in the Carretera de Bandama area, in Santa Brígida, is simply spectacular. Are you ready to fall in love with this house? Contact us to arrange a visit! We guarantee that you will not regret it. **The exposed data is merely informative and may be subject to errors or inadvertent omissions. Expenses related to the sale are not included in the price selling.",True,good,False,,2956.0,True,True,False,False,False,False,True,True,chalet,"Los Alvarados-Fuente los Berros, Santa Brigida",Detached house,Premium,independantHouse,,,
100292414,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/61/03/1077483379.jpg,MD - 181471,36,,750000.0,chalet,sale,310.0,False,3,2,"La Caldera, 2",Las Palmas,Santa Brigida,Portada Verde-Lomo Espino-Guanche,es,,28.0339653,-15.526188,True,https://www.idealista.com/inmueble/100292414/,13305,"Canarian house on one floor with plot and sea views.This emblematic classic-style house is unique for its location at the foot of Pico de Bandama, for its splendid renovation and for its privileged location with dream views. Oriented to the Southeast, 15 minutes from the Airport and the Capital and very close to the residential area of Tafira - Monte Lentiscal.It is located on a 1,600-meter plot with terraces, access on foot to different walking routes, nature and silence. A large garden surrounds the entire house with native flora and fauna. The property is divided into a main house and an apartment, both connected by a common terrace.A wooden door defines the main entrance.We enter the main house through the kitchen, with an office and pantry, it connects with the large dining room open to the living room with access to the terrace.The terrace flies over the views to the east of the island, enjoying incredible views over the sea.The main house has a master bedroom with dressing room and bathroom en suite.Office area and living room complete the house. The reform has wanted to highlight the original elements such as the stone floor, the wood and the Canarian stone ashlars.The best materials have been added to the original renovated elements in order to achieve quality and comfort in each room. The apartment has its own terrace, garden and glazed porch outside.Inside it has two bedrooms, a bathroom and a living room open to the kitchen with views of Bandama. It has a Vacation Rental License and currently obtains very good profitability, with a score of 9.8 (Exceptional) on Booking. Covered area to park four or five cars. Housing ready to install. Privacy and silence guaranteed for those who value tranquility.Contact Gilmar and we will be happy to assist you to expand the information and organize a visit. Information: The sale price does not include taxes of the transmission, notary fees, registration, or any other that according to law may correspond to the buyer. The exposed data are merely indicative and are subject to involuntary errors or omissions.",False,good,False,,2419.0,True,False,True,False,False,False,True,True,chalet,"Portada Verde-Lomo Espino-Guanche, Santa Brigida","Detached house in La Caldera, 2",Premium,independantHouse,,,
99341204,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1c/e3/66/1044640459.jpg,MD - 178761,30,,700000.0,chalet,sale,550.0,False,4,4,San José de las Vegas-La Atalaya,Las Palmas,Santa Brigida,San José de las Vegas-La Atalaya,es,,28.0254772,-15.4882761,False,https://www.idealista.com/inmueble/99341204/,12039,"Gilmar Real Estate is pleased to present this Detached Villa for Sale in La Atalaya de Santa Brígida. Family home in a green environment with the best construction materials and with all the details so that your day to day is filled with comfort and enjoyment. The house is distributed in two heights, the car reaches the main floor, with direct access to the main floor of the house. The ground floor has an entrance hall, distributor, bedroom with full bathroom, living room with dining room and access to the covered terrace and garden. The kitchen with pantry and utility room completes the floor. The views from all the rooms are beautiful, covering the east side of the island, watching the sunrise. The first floor has a master bedroom with dressing room, bathroom en suite and balcony. Two children's bedrooms with bathroom and fitted wardrobes and large windows. Two other double bedrooms with another bathroom complete the floor. In addition, one of the double bedrooms has a loft and a private balcony. The semi-basement has a cistern and multifunctional space and storage area. Built with the best materials, with double insulation throughout the building, Persian Red Marble and Vitacola Wood, spacious spaces and quality in every detail. The outdoor space has a terrace with a barbecue area, a garden with views and a pool area with a green area. The interior garage for two cars has an electric car charger. Two minutes by car from the town of La Atalaya and fifteen from the center of Las Palmas de Gran Canaria, surrounded by nature and in a dead-end street, a unique home for enjoyment. Contact us, we will be happy to assist you and provide more information.",True,good,False,,1273.0,True,False,True,False,False,False,True,True,chalet,"San José de las Vegas-La Atalaya, Santa Brigida",Detached house,Premium,independantHouse,,"[{'name': 'villaType', 'text': 'Villa'}]",
98958088,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6b/4e/99/1029976395.jpg,10999-JAV,34,8,440000.0,penthouse,sale,79.0,True,2,1,"Calle León y Castillo, 373",Las Palmas,Las Palmas de Gran Canaria,Puerto - Canteras,es,Santa Catalina - Canteras,28.1343127,-15.4296957,True,https://www.idealista.com/inmueble/98958088/,1359,"BEST HOUSE presents this wonderful penthouse with an open terrace in a privileged location in the city of Las Palmas de GC, with magnificent direct views of the Bay of La Luz. The house is located in an ideal area for investors since it is located in the heart of the city, in the heart of the first-class shopping area with El Corte Inglés just a step away, also providing all kinds of health, aesthetic, sport etcA few meters from the social and sports club (Club Náutico and Club Varadero), Las Alcaravaneras beach and the Sports Pier. It is distributed as follows: - Entrance hall that gives direct access to kitchen and living room. It has a high quality security door and camera phone. - Modern independent kitchen fully equipped with ceramic hob, oven, dishwasher and fridge. Exterior window that overlooks the patio. - Spacious living-dining room with large windows that give direct access to a sunny open terrace. This 8m2 terrace is protected from the direct attack of the north wind by a side wall and from it you can admire spectacular sunrises. - 2 independent bedrooms connected by a corridor. Both with fitted wardrobes and exterior windows. One of them with sea views. 5. Bathroom with shower tray and bidet. Air conditioning in bedrooms and living room. Building with surveillance cameras at its entrance. Area of great urban mobility (bus and taxi stops nearby, bike lanes, pedestrian boulevards). The sale price does not include taxes of the transmission, notary fees, registration, or any other that according to the law may correspond to the buyer. The exposed data are merely indicative and are subject to involuntary errors or omissions.",False,good,False,True,5570.0,False,True,False,False,False,False,,,flat,"Santa Catalina - Canteras, Las Palmas de Gran Canaria","Penthouse in Calle León y Castillo, 373",Premium,penthouse,,,
96438847,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f0/38/aa/947233197.jpg,EG - 167838,30,,1480000.0,chalet,sale,520.0,False,5,5,"Cuesta La Grama, 89",Las Palmas,Santa Brigida,San José de las Vegas-La Atalaya,es,,28.0307721,-15.492173,True,https://www.idealista.com/inmueble/96438847/,11683,"Gilmar presents this exclusive detached villa with swimming pool and beautiful views of the city of Las Palmas de Gran Canaria and Santa Brígida. Specifically in the exclusive residential area of Cuesta La Grama, just seven minutes from the town centre of La Villa de Santa Brígida. It is the third smallest municipality on the island in terms of surface area and with the highest per capita income in the Canary Islands, and only fifteen kilometres from the capital. Built with top quality materials, it is equipped with underfloor heating, air conditioning, floating parquet and marble floors. The house is designed in such a way that no walls are in contact with the ground, which greatly improves its conservation. All the technical elements of the machine room have been duplicated so that at no time can the house be affected by a breakdown. The interior layout of the main building is on two levels. Access to the house is from the upper level, the day area, distributed in a kitchen connected to the dining room, living room, library with adjoining office and guest toilet and also two glazed terraces designed to enjoy the views in both winter and summer. An interior staircase leads to the sleeping area, with four spacious double bedrooms with en-suite bathrooms. The master bedroom has two dressing rooms and a double en-suite bathroom. All with exterior access to the gardens.  Attached to the main building is the service flat.",True,good,False,,2846.0,False,False,False,False,False,False,True,True,chalet,"San José de las Vegas-La Atalaya, Santa Brigida","Detached house in Cuesta La Grama, 89",Premium,independantHouse,,"[{'name': 'villaType', 'text': 'Villa'}]",
