propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,hasLift,labels,detailedType.subTypology,parkingSpace.parkingSpacePrice
100179459,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/10/fc/82/1072140037.jpg,KPP06739,29,2,2150000.0,flat,sale,243.0,False,2,2,subdistrict Sant Jaume,Balears (Illes),Palma de Mallorca,Ciutat Antigua,es,Sant Jaume,39.5742724,2.6463414,False,https://www.idealista.com/inmueble/100179459/,614,"In the heart of the Old Town of Palma de Mallorca is this unique and spacious apartment in an old 18th century palace completely renovated with incredible French architectural influences. The distribution of the 207 m² living space is as follows: generous dining area, 1 spacious living room with garden views, fully equipped kitchen (Gaggenau equipment), 2 bedrooms, 2 bathrooms (1 en suite) and an office area. From an aesthetic point of view, you feel like you are in a high-end apartment in Paris. The views are towards other beautiful properties and a totally peaceful garden. No cars to be heard, a true oasis in the old town. Other features and facilities of the apartment are: original untreated French-style elements, marble floors, hot/cold air conditioning, built-in wardrobes, elevator and very romantic common areas (garden). The building community has a person in charge of maintaining the property. In addition, the apartment has 2 parking spaces and 1 storage room. Contact us for more information or to arrange a visit. All the information in this exposé has been provided by the owner of the property, so no responsibility is assumed for the accuracy of this data. Ref. : KPP06739.",False,good,False,8848.0,True,True,False,False,False,False,True,True,flat,"Sant Jaume, Palma de Mallorca",Flat,Top,,,,
98605082,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c6/35/c3/1017819461.jpg,VPM2208028,25,1,470000.0,flat,sale,105.0,True,2,1,Calle de Caro,Balears (Illes),Palma de Mallorca,Sta Catalina - Son Armadans - Maritim,es,Sta Catalina - El Jonquet,39.5737187,2.6396051,False,https://www.idealista.com/inmueble/98605082/,1013,"Apartment with terrace for sale in Santa Catalina This charming home is located on the first floor by stairs of a small building with only three units, with an unbeatable location in a corner of the popular neighbourhood of Santa Catalina, steps away from all kinds of services and countless options of international gastronomy. Just 300 metres from the property is the traditional market that gives its name to this area. Throughout the property, the typical Majorcan character can be appreciated thanks to the wooden beams and the three-and-a-half metre high ceilings which give an airy and even more spacious feeling. From the entrance hall, you enter the large living/dining room with an integrated open plan kitchen which has been renovated in 2021. To the right of this space is both a full bathroom and a single bedroom. At the end of the living room is the magnificent terrace of 18 sqm facing the heart of the block with a beautiful view. To the left of the entrance door, the master bedroom with an area of 25 sqm which could be divided into two bedrooms has a French balcony and an adjoining room currently used as a storage room, with facilities prepared to convert it into an en-suite bathroom. The property has planned improvements to the façade which have already been paid for by the current owner. Can you imagine living here? We look forward to your call!",True,good,False,4476.0,False,False,True,True,False,False,,,flat,"Sta Catalina - El Jonquet, Palma de Mallorca",Flat in Calle de Caro,Top,False,,,
98268617,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2c/15/1d/1019594073.jpg,VPM2112008,39,,910000.0,chalet,sale,454.0,False,4,3,Calle Escudella,Balears (Illes),Marratxi,Sa Cabaneta,es,,39.6175644,2.7346079,False,https://www.idealista.com/inmueble/98268617/,8988,"Detached villa for sale in Sant Marçal This villa built in 2006 on an 800 sqm plot is located 10 minutes from Palma, in the well-known and quiet area of Sa Cabaneta. Its 414 sqm are perfectly divided into three levels with an optimal distribution. From the spacious hall on the ground floor you have access to the modernly decorated living and dining area, which in turn allows access to the porch and the 53 sqm pool. The kitchen is very spacious and bright and is distinguished by the partially glass ceiling that allows the massive entry of light. The ground floor has two large bedrooms with built-in wardrobes and two bathrooms, one of them adapted for people with special needs. The master bedroom is also on the ground floor, with access to a large dressing room. The living room, the kitchen and the master bedroom have access to the 45 sqm porch and the pool. Practically all the facilities for daily life are located on the ground floor, thus making the circuit as comfortable and simple as possible. On the upper floor there is another bedroom and a bathroom, as well as a leisure area or living room, offering the possibility of hosting family, children or guests with privacy. In the bedroom, the balcony stands out with wonderful views over the city of Palma. The basement of about 127 sqm includes the garage for three or four vehicles and a large storage room. The house, predominantly south facing, has gas central heating and also ducts. However, it is equipped with everything necessary to offer a lot of comfort and tranquility, and the area is ideal to avoid the hustle and bustle of the city, but at the same time being at a convenient distance that allows quick access to the center of Palma. In the surroundings there are supermarkets, shops, a sports club and an international school.",True,good,False,2004.0,False,False,True,False,False,False,True,True,chalet,"Sa Cabaneta, Marratxi",Detached house in Calle Escudella,Top,,"[{'name': 'villaType', 'text': 'Villa'}]",independantHouse,
98423139,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/39/95/8f/1015313976.jpg,VPM2207045,46,1,995000.0,flat,sale,138.0,True,3,3,Avenida de Gabriel Roca,Balears (Illes),Palma de Mallorca,Sta Catalina - Son Armadans - Maritim,es,El Terreno,39.5619422,2.625582,False,https://www.idealista.com/inmueble/98423139/,2272,"Luxury apartment for sale on Palma's Paseo Marítimo Facing the marina, in a sought-after section of the port promenade bordering the Victoria Gran Meliá hotel, this magnificent apartment is located in one of Palma's most emblematic buildings: Edificio Mediterráneo. Its regal aesthetics, the direct access by lift to a prestigious restaurant on the fifth floor and the communal pool oppposite the yacht club make it unique and a status symbol. The splendid property is a delight with its open plan design offering sea views from all its rooms, with a total of 140 sqm distributed between the spacious living room, three double bedrooms (two of them en suite), two bathrooms and a guest toilet, as well as the elegant kitchen with island and Siemens appliances, integrated in the living area. The equipment includes underfloor heating and specially fitted and soundproofed windows and the sunny terrace of 25 sqm, ideal for enjoying the outdoors all year round. With this excellent location on Palma's promenade by the water, refurbished to the highest standards in a historic building facing the Mediterranean Sea.. . Can you imagine living here? We look forward to your call!",True,good,False,7210.0,False,False,True,False,False,False,,,flat,"El Terreno, Palma de Mallorca",Flat in Avenida de Gabriel Roca,Top,True,,,
100924742,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b5/1d/85/1104103079.jpg,IDE-MK121,50,,1690000.0,chalet,sale,409.0,False,4,4,Cala Vinyes,Balears (Illes),Calvià,Cala Vinyes,es,,39.4914825,2.5331767,False,https://www.idealista.com/inmueble/100924742/,13269,"Ladies and gentlemen, we have the pleasure to present to you this wonderful property located in the urbanisation of Cala Viñas within the municipality of Calvià on the southwest coast of Mallorca, 10 km south of Portals Nous and Bendinat, 18 km from the centre of Palma and 30 km from Sant Joan airport. The 409 m2 built property was completely renovated in 2017 and has a plot of approximately 1,382 m2 where the construction of a swimming pool is planned and approved.  The whole property is surrounded by centuries-old pine trees in a very quiet and safe area just a few minutes from the golf courses and the sea Originally this Majorcan-style house was completely renovated in 2017.  The floors are made of wood-like porcelain tiles and the whole property has been given a warm and cosy interior design playing with material and colours that the owners have created with style and elegance by combining stones and original African wood. All rooms are air-conditioned with heat and cold pumps and the exterior walls are clad and insulated with stone. The main entrance is approximately 200m2 with a large porch leading to a terrace with barbecue area that leads to the main floor. This entrance has a terrace of about 45 m2 and consists of the living room with a fireplace and a guest bathroom with a small office of about 5.70 m2. The large dining room has double access to the kitchen, which is fully equipped and connected to a laundry room of approximately 9.80 m2. All bedrooms are on the first and second floors with solid wood beamed ceilings.  The suite has a dressing room with fitted wardrobes and a full bathroom with exits to covered balconies with African cane ceilings that allow views of the entire property.  Several cars can be parked on the private property which has 2 entrances with two very ornate gates. There is a semi-basement storage room with a view of the garden, of approximately 38 m2  The entire house has aluminium exterior carpentry with double glazing and the interior is solid wood.  It is sold with and without furniture, which is not included in the sale price.  The surrounding buildings are only villas of people who like peace and privacy. Only a five-minute drive away are national and international schools, health centres, shopping areas and golf courses. The dream can become reality to live on the most beautiful island in the world. Agent King Mallorca Real Estate Dr. Matteo Belotti.",False,good,False,4132.0,True,False,True,False,False,False,True,True,chalet,"Cala Vinyes, Calvià",Detached house,Top,,"[{'name': 'luxuryType', 'text': 'Luxury'}]",independantHouse,
99278836,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/5c/fe/1039033722.jpg,220260,24,1,2000000.0,penthouse,sale,452.0,True,0,3,subdistrict El Terreno,Balears (Illes),Palma de Mallorca,Sta Catalina - Son Armadans - Maritim,es,El Terreno,39.5566269,2.6238254,False,https://www.idealista.com/inmueble/99278836/,2678,"Just over 300 m2 studio/loft New York style where it is already a fantastic living space combined with an artist and music studio. A different and inspiring creative environment with a ceiling height of just over 4 meters and a huge open area with endless possibilities! Today there is a fully equipped, modern open kitchen, an airy bedroom with curtains as walls and a separate, modern closed bathroom. The entire one long wall is from floor to ceiling a single section of glass and part of the opposite wall also has a large window area from floor to ceiling. All the walls are creme white, the ceiling is painted in two shades of black and the studio is flooded with natural light. The studio is on the first floor, but no one can look into this place. From the public stairwell, there is a separate entrance that leads into a private entrance hall and a wide, stylish staircase with floor-to-ceiling windows when you get up to the living floor. On the left is the studio described above and to the right there is a separate residence since just over 1 year. The separate floor of approx. 150 m2 has the same owner as the studio and is made in the same style.  In the photos it says separate apartment and those photos are after the photos from the studio. This home has a large airy living room with an open plan bedroom as part of the living room. The living room has floor-to-ceiling windows along one long side and by the ""bedroom part"" on the opposite side. In this flat you find a modern, practical, closed working kitchen, a smaller bedroom, a bathroom and a separate guest toilet as well as a spacious walk-in closet. The studio and the apartment are each on their own title deed. There is a possible of buying 1 or 2 parking spaces for €28,000/piece in the property's garage and/or to rent 1 space in the same garage. The location is directly above Can Barbara, the small bay that enters from the sea just before the Porto Pi shopping center which it takes about 7-8 minutes to walk to and where, in addition to the island's largest Carrefour grocery store, there is all imaginable shopping, restaurants, cafes, cinema etc.  To Santa Catalina with its wide range of restaurants and bars it is a 15 minute walk and to the cathedral and the luxurious shopping streets it is another 10 minute walk.",False,good,False,4425.0,True,False,True,False,False,False,True,False,flat,"El Terreno, Palma de Mallorca",Penthouse,Top,False,"[{'name': 'loftType', 'text': 'Loft'}, {'name': 'luxuryType', 'text': 'Luxury'}]",penthouse,28000.0
99737073,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/89/ae/1052884007.jpg,220268,22,en,895000.0,flat,sale,197.0,True,4,2,subdistrict Son Armadams,Balears (Illes),Palma de Mallorca,Sta Catalina - Son Armadans - Maritim,es,Son Armadams,39.5696847,2.6288974,False,https://www.idealista.com/inmueble/99737073/,1822,"Lovely airy and spacious with large kitchen with separate dining area, cozy living room and between kitchen and living room a large office that provides opportunities for even more spacious room distribution. In addition, there are 4 bedrooms, 2 bathrooms and a large hall and the ceiling height is close to 3 meters throughout! However, not in the bathrooms. From the street you pass a private gate and end up in a private passage to the right of the property and from this there is another private gate to this residence only. From the gate there are a few steps up to the terrace which runs like an L along one short side of the garden and together with the terrace covered by the upper floor of the property which is a smaller, but still airy arcade. Once inside the property, you have the cozy living room to your right and the large rustic kitchen open to a separate lovely dining room to the left. The dining room is located in a large bay window. From the kitchen is also the entrance to the large (today) combined office and guest room. The private/bedroom area is reached via a hallway opposite the entrance door, ending on the left side with a bathroom followed by a bedroom. Straight ahead is another bedroom, in the corner to the right is the third bedroom followed by a bathroom and then the master bedroom which also has its own entrance to that bathroom and has a walk-in closet. In 2019, with completion in January 2020, a complete interior renovation was done. A completely new bathroom was made and the other bathroom was renovated, the ceiling was lowered in parts of the home and recessed spot lights were installed, all the walls were painted, new parquet was installed, the entire kitchen was replaced and all plumbing and electricity were replaced or upgraded. In addition, some walls were removed to provide a more open floor plan. The wall around the garden was also renovated. All rooms have large windows and radiators heated with city gas. The garden have approx 175 m2, faces south and has room to build a pool. The floor above is used as a holiday home and there the owner has received a license to build a pool on his side of the garden, which is at the back of the house. The work on building the neighbours pool has already begun. The property has surprisingly privat location. The location at the beginning of Son Armadams means that it is a 5 minute walk to the well-known Palma Sport & Tennis Club and to Santa Catalina with its wide range of restaurants and bars as well as to the Paseo Maritimo, the beautiful harbor promenade it is a 10-minute walk. Grocery stores, large and small, cafes, deli, haircuts for both humans and dogs, vet, 2 good hotels with nice bars and everything else you could possibly need for daily, comfortable living is within a 10 minute walk.",False,good,False,4543.0,True,False,True,False,False,False,,,flat,"Son Armadams, Palma de Mallorca",Flat,Top,False,,,
97407267,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fd/f6/5f/985590804.jpg,220119,28,4,850000.0,duplex,sale,128.0,True,3,2,subdistrict Sta Catalina - El Jonquet,Balears (Illes),Palma de Mallorca,Sta Catalina - Son Armadans - Maritim,es,Sta Catalina - El Jonquet,39.5722073,2.6342842,False,https://www.idealista.com/inmueble/97407267/,1391,"EXCLUSIVELY only with us is this elegant floor on the third and fourth floor of a corner property with a central location in Santa Catalina. The entrance is on the upper floor, from the hall you enter into the bright and airy corner living room with dining area. This whole very social floor plan is open, which means that the kitchen, which is a stylish, minimalistic work kitchen with generous and well-thought-out on-site built storage, is integrated in the rest of the social space. The kitchen also has a breakfast area and a separate pantry / storage / laundry room. The entire floor is flooding with light, it's airy and with a sober elegance that is emphasized by the equally light marble floors that are throughout the entire home. The stairs down to the bedroom floor are of course also built in the same marble, which nicely connects the two floors. Directly down the stairs is the entrance to the 19 sqm large terrace and after this door is a separate bathroom. The lower floor has ample storage and 3 spacious bedrooms with fitted wardrobes. The corner bedroom is currently used as a living room / TV room. Another full bathroom is located between the bedrooms. The terrace of 19 sqm has during May 2022 received a new paving, it has been painted, received new lighting, etc., the entire surface finish has been updated. There is plenty of space here for drinks, barbecues and dinners in the balmy Mediterranean evening. The building has a lift and there is a parking space included in the garage. The property has a very central location next to Placa de Progress, which in the near future will be transformed into an even larger green area when the main street is redirected and a large garage will be built under the entire square. The conversion is very positive for this property which ends up further from traffic and gets more park in front. Around the corner is a large, well-stocked Eroski grocery store, there are two organic food stores in the block, a Spanish bakery diagonally across the street and the Swedish bakery Palma Bread is a 3 minute walk away. Within the neighborhood there is also a bus stop, post office, several banks, pharmacies and several local restaurants.  In addition, it´s 5 minutes walk to the market hall in Santa Catalina and the huge range of restaurants, bars and cafes that are around. Exclusive Palma Sport & Tennis Club is also a 5-minute walk away. There you can spend the whole day doing sports, sunbathing or just being social and enjoying good food and drinks in the restaurant in this oasis in the middle of the city. A 10-minute walk will take you to the seafront, Paseo Marítimo or to the shopping street Jaume III and the luxurious Paseo des Borne, where Palma's beautiful cathedral is also located.",False,good,False,6641.0,True,False,True,False,False,False,,,flat,"Sta Catalina - El Jonquet, Palma de Mallorca",Duplex,Top,True,,duplex,
98073696,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/77/2b/1000081934.jpg,220146,36,,2250000.0,chalet,sale,376.0,False,4,4,subdistrict Sta Catalina - El Jonquet,Balears (Illes),Palma de Mallorca,Sta Catalina - Son Armadans - Maritim,es,Sta Catalina - El Jonquet,39.5711882,2.6366908,False,https://www.idealista.com/inmueble/98073696/,1167,"Unique property on a quiet street around the corner from Santa Catalina´'s lovely market hall. There are not many town houses in the central part of Santa Catalina like this. It is a large property with three floors with a living area of a total of 372 sqm distributed over 2 completely separate and 2012 completely renovated apartments on the first and second floor where each have 128 sqm living space + each have a covered balcony of about 10 sqm. The unrenovated ground floor of approx 120 sqm + a back yard of 40 sqm provides many possibilities. The ground floor is registered as a business premises. On the first floor there is a nicely renovated apartment with a nice hall way, 2 bedrooms and 2 bathrooms, very airy social area with open kitchen with a large bar counter and spacious living room area that ends with two French balconies. Towards the covered balcony of 10 sqm is a generous dining area and out on the balcony there is another dining area. It´s high ceilings and white painted wooden beames in the ceilings and a rustic wooden kitchen. The style is modern charm with earthy warm colors. The apartment on the second floor also has a nice hall way, 2 bedrooms and 2 bathrooms and airy social area where the kitchen is open and has a large bar counter, the living room is airy and finishes with French balconies. The dining area against the covered balcony of this floor is also large and the balcony of 10 sqm has space for outdoor dining too. This floor also has high ceilings and here the beams have their natural color and the style is classic chic meets Ibiza. From the living roomis the stair way to the private roof terrace of 30 sqm with views over the rooftops and towards the sea. Here the wind cools in the balmy Mediterranean nights and it is as made for long dinners. Both apartments have air conditioning units, double-glazed windows and everything is renovated in terms of craftsmanship and with high quality. As can be seen in the pictures, the home on the ground floor needs to be renovated, which provides opportunities to let the imagination flow freely. Behind the ground floor there is a larger backyard of approx 40 sqm which also contains opportunities for a garden, a smaller ""plounge pool"", outdoor kitchen, play area for children, etc. The property is sold as an investment opportunity with all 3 floors included.",False,good,False,5984.0,True,False,True,False,False,False,True,True,chalet,"Sta Catalina - El Jonquet, Palma de Mallorca",Terraced house,Top,,"[{'name': 'luxuryType', 'text': 'Luxury'}]",terracedHouse,
100761086,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/70/d7/d2/1098012275.jpg,V-Ref 378,46,,7450000.0,chalet,sale,750.0,False,6,5,Portals Nous - Bendinat,Balears (Illes),Calvià,Portals Nous - Bendinat,es,,39.5365652,2.577545,False,https://www.idealista.com/inmueble/100761086/,7228,"Bconnected is proud to offer in EXCLUSIVE this luxury villa located in the sought after area of Old Bendinat, very close to several turquoise beaches and within walking distance to the village of Portals Nous, where you can find everything you need.  The entrance is covered by a tropical garden, allowing for a lot of privacy but at the same time, the nearest beach is literally a few steps away, making this villa a real hidden gem. The property is very well maintained and is a perfect family home for a well deserved holiday or year round living. Upon entering the house you will find a large parking area for several cars surrounded by the lush tropical garden and swimming pool.  One of the unique aspects of this property is that the communal areas are all on one level. The bedrooms are on the ground floor of the house where it is cooler in the summer months. The house has terraces and porches all around to enjoy a cup of coffee or a glass of wine outside with stunning sea views. On the upper floor there are 2 living rooms with open plan kitchen, an office, the master bedroom with dressing room and bathroom en suite and 1 guest toilet.  On the lower floor there are 4 bedrooms with 2 bathrooms (1 en suite) and access to the terrace from all rooms. The property is equipped with air conditioning and underfloor heating, maintaining a very pleasant temperature all year round. The special feature of this property are its tropical gardens where fresh mangoes, papayas, lychees, bananas and grapefruit trees grow, and the beautiful swimming pool in front of the porch surrounded by lawns. The property has a gate from the garden that leads to the nearest beach, approximately 60 metres away. There is also a complete guest flat with independent access.",True,good,False,9933.0,True,False,True,False,False,False,,,chalet,"Portals Nous - Bendinat, Calvià",House,Top,,"[{'name': 'luxuryType', 'text': 'Luxury'}]",,
