propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,labels,topNewDevelopment,superTopHighlight,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,parkingSpace.parkingSpacePrice,newDevelopmentFinished
100704643,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2d/0b/13/1097071467.jpg,4094v,36,10,890000.0,flat,sale,114.0,True,3,2,Paseo de García Faria,Barcelona,Barcelona,Sant Martí,es,Diagonal Mar i el Front Marítim del Poblenou,41.4050032,2.2116313,False,https://www.idealista.com/inmueble/100704643/,3883,"Apartment for sale with spectacular views of the sea and the city with parking in Diagonal Mar, Barcelona Magnificent 114.59m² built apartment with incredible panoramic views of both the sea and the city, located in the exclusive area of Diagonal Mar.  The property is distributed in a spacious and bright living-dining room with large windows that allow plenty of natural light to enter, a fully equipped independent kitchen with integrated appliances and access to a pleasant balcony that also connects with the living room.  The night area consists of 3 double rooms; 1 of them en-suite. Another complete bathroom that serves the rest of the rooms.  Orientation to the east and northwest.  It has marble floors, gas heating and air conditioning with heat pump.  It is located on the top floor of a building with an elevator built in 2002.  The price includes 1 large parking space and storage room in the same building.  In an unbeatable location, close to the sea, green areas, the Diagonal Mar shopping center, services and leisure areas, and very well connected to public transport.  Do not miss the opportunity to live in front of the sea!",True,good,False,True,7807.0,True,True,False,False,"[{'name': 'luxuryType', 'text': 'Luxury'}]",False,False,True,True,flat,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Flat in Paseo de García Faria,,,
98255536,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/82/40/e0/1005698627.jpg,3855V_1,54,1,2800000.0,flat,sale,248.0,True,4,4,Paseo de Gràcia,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3892731,2.1681451,False,https://www.idealista.com/inmueble/98255536/,641,"Brand new apartment with terrace and pool in Paseo de Gracia, Barcelona Exclusive property of 218sqm built and 28sqm of terrace distributed in a spacious and bright living room with access to 2 balconies, a pleasant and sunny dining room, independent kitchen with double access and breakfast bar. It can be left open for greater comfort thanks to its sliding doors and comes fully equipped with top of the range appliances (including a Liebherr wine fridge). Separate utility room. A large hallway leads to the sleeping area, where you will find the master bedroom en suite with access to the spectacular 30m2 terrace. The bathroom is very spacious and has both a shower and a bathtub. Of the other 3 double bedrooms, 1 is en-suite with a shower, and another one has access to the magnificent terrace. All of them with built-in wardrobes and designed with high quality materials. All the rooms have ducted air conditioning and heating, domotics, wooden floors, aluminium carpentry and double glazing. The exclusive and elegant roof terrace offers a unique space, with a large amount of vegetation and a wooden structure surrounding the communal swimming pool. Located in the heart of Barcelona, Paseo de Gracia is the most elegant and stately avenue in the city, and in one of the most sought-after locations for business. A very attractive commercial proposition. It offers a very comfortable life, with all the services at your fingertips. Living on this avenue means enjoying exclusivity in the very centre of the city. Enjoy the exquisite architecture of its modernist buildings such as Casa Batlló, Casa Milá and Casa Lleó Morera, mixed with modern, classical and neoclassical buildings.  Its location enjoys excellent communications, and the unique experience of living in Paseo de Gracia; surrounded by the best fashion shops, hotels, high-class restaurants and the most representative examples of modernism. A luxury within the reach of few.  The refurbishment of this traditional neoclassical building has been carried out to the highest standards and details. It has sought to merge the most distinguished of the past with the most functional of the future. Its design is totally avant-garde and has all the comforts of the most modern constructions.",True,good,False,True,11290.0,True,True,False,False,"[{'name': 'luxuryType', 'text': 'Luxury'}]",False,False,,,flat,"La Dreta de l'Eixample, Barcelona",Flat in Paseo de Gràcia,,,
98261311,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b0/95/ae/1005921511.jpg,3855V_3,43,1,1925000.0,flat,sale,168.0,True,2,2,Paseo de Gràcia,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3890208,2.1642732,False,https://www.idealista.com/inmueble/98261311/,879,"Exclusive house of 143sqm built and 23sqm of terrace, distributed in a bright living room with access to two pleasant balconies. The kitchen is open plan and comes fully equipped with high-end appliances (including a Liebherr wine fridge). Through the distributor we access the night area, where we will find the master suite room with access to the spectacular terrace, this bedroom has a large dressing room and a full bathroom with a shower. The second room is also double and has a complete bathroom with a bathtub right in front of it. Both rooms have fitted wardrobes and are designed with high quality materials. All rooms have air conditioning and heating ducts, home automation, parquet floors, aluminum carpentry and double glazing.  The elegant and unique roof terrace offers a unique space, with lots of vegetation and a wooden structure that surrounds the incredible pool, ideal for cooling off in the hottest months.  Located in the heart of Barcelona, Paseo de Gracia is the most elegant and stately avenue in the city, and in one of the most sought after locations for business. A very attractive business proposition. It offers a very comfortable life, with all the services at your fingertips. Living on this avenue means enjoying exclusivity in the very center of the city. Enjoy the exquisite architecture of its modernist buildings such as Casa Batlló, Casa Milá or Casa Lleó Morera, mixed with modern, classic and neoclassical buildings.  Its situation enjoys excellent communication, and the unique experience of living in Paseo de Gracia; surrounded by the best fashion stores, hotels, high-class restaurants and the most representative examples of modernism. A luxury within the reach of few.  The rehabilitation work of this traditional neoclassical building has been carried out with the highest standards and details. It has sought to merge the most distinguished of the past and the most functional of the future. Its design is totally avant-garde and it has all the comforts of the most modern constructions.",True,good,False,True,11458.0,True,True,False,False,"[{'name': 'luxuryType', 'text': 'Luxury'}]",False,False,,,flat,"La Dreta de l'Eixample, Barcelona",Flat in Paseo de Gràcia,,,
100621063,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/d1/ab/1093872014.jpg,BCNP5108,23,18,1990000.0,flat,sale,180.0,True,3,2,Paseo de Garcia Fària,Barcelona,Barcelona,Sant Martí,es,Diagonal Mar i el Front Marítim del Poblenou,41.4012207,2.212253,False,https://www.idealista.com/inmueble/100621063/,3705,"This exquisite designer apartment on the seafront in Barcelona's Diagonal Mar leaves no detail of the good life behind. Complete with a large terrace, breathtaking views, private jacuzzi, 24-hour security and its prime location, this gem of a property is sure to impress the most discerning buyers. We look forward to hearing from you for more details. The district of Diagonal mar i el Front Marítim del Poblenou is one of the 10 districts that make up the district of Sant Martí, in the northeast of Barcelona. Its limits are: Avinguda Diagonal, Carrer de Bac de Roda and the Mediterranean Sea. It is one of the newest neighborhoods of Barcelona, projected from the impulse of the Forum of Cultures held in 2004 in Barcelona. It is a luxury urbanization with green spaces and high-rise buildings and skyscrapers in which the houses are spacious and with impressive views of the Mediterranean Sea and the city. The price per square meter of the houses is one of the highest in Barcelona. With green areas, wide streets, building complexes that take care of every detail, a shopping center and the beaches of Mar Bella and Nova Mar Bella, it has become a very attractive neighborhood. The neighborhood can be easily reached by the Ronda Litoral, although there are also good public transport connections The Diagonal Mar neighborhood is ideal if you prefer ultra-modern apartments with luxury features in Barcelona, where proximity to the sea is a plus. The neighborhood has been designed to have everything you need without leaving it.",True,good,False,True,11056.0,True,True,False,False,"[{'name': 'luxuryType', 'text': 'Luxury'}]",False,False,,,flat,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",Flat in Paseo de Garcia Fària,,,
98923851,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/85/f4/ab/1086339824.jpg,BCNP4831,24,1,850000.0,flat,sale,180.0,True,3,2,Calle dels Sombrerers,Barcelona,Barcelona,Ciutat Vella,es,Sant Pere - Santa Caterina i la Ribera,41.3834583,2.1822148,False,https://www.idealista.com/inmueble/98923851/,756,"Wonderful main floor of 180m2 built with terrace in a quiet street of the Born with 3 bedrooms and 2 bathrooms. You enter the property through a large and beautiful hall where there are two double bedrooms with balcony overlooking the street and fitted closets, plus a recently renovated bathroom. Then to the right is a hallway that leads to a first smaller room and then to the large living room facing south-east with open kitchen and 2 exit doors to the large terrace. A space in the living room can be closed with sliding doors and converted into a third guest room and also has a second full bathroom. The property was completely renovated in 2017, rescuing the original elements such as the walls, the high ceilings, the Catalan vault and the wooden doors were restored by hand. The installations and ceilings were fully rehabilitated. The apartment has air conditioning by splits, fitted closets in two bedrooms and equipped kitchen. If there is a trendy place for both tourists and locals, it is the dynamic neighborhood of El Born with its particular market, now turned into a museum, after getting some fantastic Roman ruins during its remodeling. It is home to artists, artisans and bohemians, with a myriad of curious and unique stores. Even more famous are its varied restaurants, so many to discover a new one every day. The Santa Caterina market with its roof inspired by the skin of the dragon of Sant Jordi is in itself a work to admire. The Basilica of Santa Maria del Mar, the Palau de la Música, and the green lung of La Ciutadella are some of the important landmarks of this neighborhood. It is a neighborhood to live and to know. Its buildings continue the irregular pattern of the Gothic Quarter, and its streets, although clearer at times, are also narrow. On the first floor of the buildings you can find bars, art galleries, artisan workshops and a host of small and curious businesses. This neighborhood will interest you if you like the bohemian lifestyle, living with the many artisans, tapas and good food, and live in a neighborhood that surprises you with new stores and corners. It is a good location to invest in a pied-à-terre.",True,good,False,False,4722.0,True,True,False,False,,False,False,,,flat,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Flat in Calle dels Sombrerers,,,
99142274,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/12/f9/02/1036689289.jpg,3938V,40,,1060000.0,chalet,sale,203.0,False,4,2,subdistrict La Vila Olímpica del Poblenou,Barcelona,Barcelona,Sant Martí,es,La Vila Olímpica del Poblenou,41.391517,2.1949441,False,https://www.idealista.com/inmueble/99142274/,1934,"Terraced house with terrace for sale in Villa Olímpica, Barcelona Charming semi-detached house of 155 m2 in a privileged location, just a 10-minute walk from the beach. It is distributed over 2 floors and has an independent exit.  On the ground floor, we enter a hall space and then there is a large 40 m2 living room with direct access to a pleasant 48 m2 garden terrace at the foot of the living room, facing South. Separated by glass we have a modern kitchen with BULTHAUP furniture and SMEG appliances and an attached laundry room. Courtesy toilet.  On the second floor is the rest area consisting of 4 bedrooms, the main one with an en-suite bathroom with a built-in shower and fitted wardrobes. There is a second bathroom that services the other 3 bedrooms.  Parquet floors in all rooms. Gas heating, air conditioning and ducted heat pump. Alarm, safe, mezzanine and fitted wardrobes.  Parking space included in the price of 32.50 m2.  The property is very close to the city's beaches, the center and the Parc de la Ciutadella. Close to the access to the Ronda Litoral and very well connected by public transport, 5 minutes from the metro and 20 minutes on foot from the Estación de França (Renfe). Surrounded by shops, schools, services and recreational areas of the widest variety.",False,good,False,,5222.0,True,True,False,False,"[{'name': 'luxuryType', 'text': 'Luxury'}]",False,False,True,True,chalet,"La Vila Olímpica del Poblenou, Barcelona",Terraced house,terracedHouse,,
100025613,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/47/2a/a3/1065596485.jpg,BCN06903,23,1,730000.0,flat,sale,103.0,True,2,2,Ronda de Sant Pere,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3899823,2.1776593,False,https://www.idealista.com/inmueble/100025613/,651,"Apartment with great profitability in a regal estate building in Eixample. This refurbished flat is located between the Eixample and the heart of Barcelona, bringing together the best of both areas. It's just a few metres from Plaza Catalunya, Paseo Sant Joan, the Gothic Quarter, El Born, Paseo de Gracia and Las Ramblas, a privileged location to enjoy the best of the city and all the services, shops and transport facilities. The entrance hall leads us to the very spacious day area, which allows us to differentiate between two ambiences: the living room and the dining room with open-plan Leicht kitchen equipped with Neff home appliances and Grohe taps. The living room is very bright and quiet and has access to a beautiful glazed gallery facing south-east towards the inner courtyard. The night area features 2 bedrooms: a suite with private bathroom, which also has access to the gallery, and a double bedroom. In addition, there's a second independent full bathroom. The property maintains original elements such as Catalan vault and high ceilings. It is equipped with ducted air conditioning, parquet floors of noble layer and hydraulic flooring of Pinar Miró. Furniture can be purchased optionally. It's on the first floor of a regal estate building with a lift. This property gives a great profitability, as it is being rented for mid-term periods between 3.500 and 4.500 €/month with a 95% occupancy rate, which gives a gross profitability of around 7%.",False,good,False,True,7087.0,True,True,False,False,,False,False,,,flat,"La Dreta de l'Eixample, Barcelona",Flat in Ronda de Sant Pere,,,
100243229,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/55/af/cf/1074790662.jpg,BCN06958,25,2,1065000.0,flat,sale,131.0,True,3,2,Via Laietana,Barcelona,Barcelona,Ciutat Vella,es,Sant Pere - Santa Caterina i la Ribera,41.3850539,2.1800319,False,https://www.idealista.com/inmueble/100243229/,552,"Amazing brand new refurbished property with high quality details in El Born. This property is located in one of the main streets of El Born in Barcelona, in a historical and cultural environment with all the necessary shops and services. It's also very close to the metro, the ""Port Vell"" marina, the Soho House, the Ciutadella Park and Barceloneta beach. This 130.97 built sqm flat is part of a new housing development in a building that has been completely refurbished. It's located on the 2nd floor and is completely exterior. It welcomes us with a spacious hallway that leads to the large living-dining room of 36 sqm with an open-plan kitchen equipped with home appliances. This is a bright space, thanks to the large windows, where you can place the sofa area, the table and also cook. The night area is distributed in the 2 ends of the property. On one side, we find the double bedroom en suite with its own bathroom. On the other side, there's the other double bedroom, the single bedroom and a separate bathroom. The bedrooms have built-in wardrobes and large windows to receive natural light. The apartment is perfect for a family and stands out for the high quality of its finishings: natural parquet flooring and porcelain tiles in the bathrooms, underfloor heating, aerothermal air conditioning and home automation and fire prevention systems. The building has a lift. Do not hesitate to contact Bcn Advisors to request a visit to this flat.",False,good,False,True,8130.0,True,True,False,False,,False,False,,,flat,"Sant Pere - Santa Caterina i la Ribera, Barcelona",Flat in Via Laietana,,,
98888290,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/26/a8/5d/1026656084.jpg,BCN05287,47,3,816000.0,flat,sale,149.0,True,2,3,Calle de la Diputació,Barcelona,Barcelona,Eixample,es,L'Antiga Esquerra de l'Eixample,41.3856009,2.1628795,False,https://www.idealista.com/inmueble/98888290/,880,"Spectacular refurbished apartment in a modernist building with lift and communal terrace, located next to the historic Universitat de Barcelona, in the heart of the city centre, with the best services and communications, just 3 streets away from Plaza Catalunya and Paseo de Gracia. The flat has 130 built interior sqm, plus common elements and a 2.6 sqm balcony. It's located on the third real floor. The day area consists of a living-dining room with balcony facing the street, independent kitchen with electrical appliances and gallery with laundry room. The night area consists of 2 en-suite bedrooms with their own bathroom: the master bedroom has a dressing room and overlooks the interior block courtyard; and the other one is interior. There is also a guest toilet. The building also has a communal roof terrace to enjoy the outdoors. The property is characterised by a high quality refurbishment and design by the prestigious interior designer Jaime Beriestain. It's equipped with a hybrid aerothermal system by Mintsubishi with integration of Hidrokit, ducted fan coils and underfloor heating (controlled by home automation), natural stone floors, built-in wardrobes and Climalit glass..",False,good,False,True,5477.0,True,True,False,False,,False,False,,,flat,"L'Antiga Esquerra de l'Eixample, Barcelona",Flat in Calle de la Diputació,,,
98286608,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/74/9e/1006714458.jpg,BCN05260,26,2,1550000.0,flat,sale,228.0,True,5,2,Calle d'Alí Bei,Barcelona,Barcelona,Eixample,es,La Dreta de l'Eixample,41.3905813,2.1764684,False,https://www.idealista.com/inmueble/98286608/,664,"Located in the elegant Eixample Right, a few meters from the Passeig de Gracia and the Plaza de Cataluña, this 220sqm property has recently been perfectly renovated by an artist, with old elements collected from around the world.  It consists of 1 double suite, 1 single suite, 2 double rooms and 1 medium siza room, 2 full bath rooms and 1 guest toilet. Two of the rooms are on a loft floor. Those facing the street have open to a sunny balcony.  The spacious living room and dining room open onto a gallery and a small balcony, providing plenty of natural light.  The spacious equipped kitchen features vintage mosaics that contrast with the brick walls.  The bathrooms retain their original mosaics as well. The apartment has high 4 meter ceilings with beautiful moldings. The original elements have been preserved, such as the old iron radiators, the carpentry and glass doors, the hydraulic floors.  The property also has a separate service entrance and elevator, and an alarm.  This magnificent property receives lots of natural light and provides an elegant and peaceful atmosphere.",False,good,False,True,6798.0,True,True,False,False,"[{'name': 'luxuryType', 'text': 'Luxury'}]",False,False,,,flat,"La Dreta de l'Eixample, Barcelona",Flat in Calle d'Alí Bei,,,
