propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,labels,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice,highlight.groupDescription,newDevelopmentFinished
101124168,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c9/a1/26/1110945395.jpg,BIL-155A,32,5,640000.0,flat,sale,114.0,True,3,2,Calle Ercilla,Vizcaya,Bilbao,Indautxu,es,Zona Indautxu,43.2629639,-2.9379248,False,https://www.idealista.com/inmueble/101124168/,238,"Are you looking for a modern and bright home in the heart of Bilbao? This is your chance! We present you an impressive 114 m2 apartment that has been completely renovated in 2018, located in the central Ercilla street, with views of the lively Indautxu square. This magnificent apartment has 3 bedrooms and 2 bathrooms, one of them in the main bedroom, equipped with a shower and a bathtub respectively.In addition, the house has built-in wardrobes in each room, which maximizes space and storage. One of the most outstanding features of this house are its two terraces, one of them closed and used as a clothesline area, so you can enjoy the fresh air without leaving home.The kitchen, with two rooms, offers a large dining area, ideal for enjoying your meals in a comfortable and pleasant space. The location of this house is unbeatable, in the heart of Bilbao and with excellent public transport connections (metro and buses).In addition, in the area you will find various services such as schools, clinics, pharmacies, shops and entertainment venues. The accessibility to the building is resolved with a vertical platform in the portal, which will allow you to easily reach the elevator without worrying about the stairs. It has a garage plot nearby, in Azkuna Zentroa and the possibility of acquiring a second plot in Bizkaia square. In short, this is an exceptional apartment that offers a wide variety of comforts and benefits for you and your family.Take the opportunity to live in the heart of Bilbao in this wonderful home! Welcome to Urbeges, the real estate agency that cares about finding the perfect home for you! We are a company dedicated to providing a personalized and high quality service to our clients in the process of buying, selling or renting properties.We have a wide catalog of properties in different locations and for all tastes and budgets.From beautiful apartments in the heart of the city to spacious houses with gardens in residential areas, in Urbeges we have something for everyone. But we not only offer a wide selection of properties, we also have a highly qualified team with extensive experience in the real estate market.Our advisors will be at your disposal to guide and advise you at every step of the process, making sure that you find the property that best meets your needs and expectations. If this property is not what you are looking for, contact us and we will make a personalized search for you, adapting to your needs and criteria. In summary, if you are looking for a home for your family, for you and yours, do not hesitate to contact us! We are sure that in Urbeges you will find what you are looking for.We look forward to helping you soon! This impressive property in the center of Bilbao is a unique opportunity to live in one of the most emblematic areas of the city. Come visit this property, you will love it!",True,good,False,True,5614.0,True,True,False,False,False,False,flat,"Zona Indautxu, Bilbao",Flat in Calle Ercilla,,,,,,,
99138502,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0e/7a/1a/1062834607.jpg,P-081,74,,630000.0,chalet,sale,468.0,False,6,5,Isuskitza Auzoa,Vizcaya,Plentzia,,es,,43.3904979,-2.920596,False,https://www.idealista.com/inmueble/99138502/,14222,"Just by opening the doors and windows of this fantastic villa we can enjoy the green of the countryside and the estuary, an excellent opportunity to live in a private urbanization that offers you services such as paddle tennis, tennis, social club, swimming pool, children's play area etc Enjoy the green landscapes in its idyllic garden with a private pool, where you can enjoy dinner or a drink with your loved ones The entire house built with high-end materials, with spacious rooms, lots of natural light, an impressive design statement in a fabulous landscape. With a spectacular hall and marble stairs, with a beautiful spacious dining room, with large windows through which you will access a large terrace with room for a table, to enjoy meals on summer days. With a large fully equipped kitchen that has a dining table. Spacious main room with large windows to enjoy the landscape, a large en-suite bathroom with a Jacuzzi to take advantage of hydrotherapy at home and a balcony with views of the estuary. In addition, it has five other rooms, all of them with oak floors, three of them in the attic with warm wooden ceilings. On the ground floor is the garage, with several cabinets, the diesel tank, the boiler and the txoko with its own kitchen. There are not many homes like this, take advantage of this opportunity! At URBEGES INMOBILIARIA we are a very professional team with a vocation for service, with a great track record and experience, we give our clients a personalized service, we offer them the best solutions both in the purchase and sale of their property. We provide you with all the aspects that will affect the purchase of your home, we work to offer our clients the best properties, in the areas of Barakaldo, Plentzia, Leioa, Algorta, Bilbao, Berango, … among others. We cover all real estate needs for the sale of flats, premises, farms, plots, … We have national and international clients.",True,good,False,,1346.0,True,True,False,True,False,False,chalet,Plentzia,Detached house in Isuskitza Auzoa,"[{'name': 'villaType', 'text': 'Villa'}]",True,True,independantHouse,,,
96667953,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/41/1c/e3/983079257.jpg,,69,,780000.0,chalet,sale,542.0,False,5,5,isuskitza auzoa no number s/n,Vizcaya,Plentzia,,es,,43.3902674,-2.9256151,True,https://www.idealista.com/inmueble/96667953/,14169,"EXCLUSIVE.Magnificent SINGLE FAMILY villa of 542 m2 on a 3,111 m2 plot in the urbanization of El Abanico de Plentzia.Spectacular house with a living room with 3 rooms, 4 bedrooms, office, home automation, central vacuum, automatic irrigation, swimming pool, solarium beach, txoko, gym and landscaped garden. On the lower floor there is a garage for 2/3 cars with a shelving area and bicycle racks; gym area with natural ventilation, storage room and its own bathroom; txoko with fireplace and exit to porticoed porch. The main floor with a welcoming porch at the entrance is distributed through a spacious hall decorated with arches and columns, giving way to a splendid living room with three rooms, decorated in raw colors, with a marble fireplace in the guest dining room, with large bay windows/windows and exit to the west-facing terrace; separate office-study area; courtesy bathroom with shower; spacious and bright Santos designer kitchen, laundry room and boiler room; From this hall there is access to the garden through a large porch and to the pool area. The bedroom floor is accessed through a bright staircase that leads to a distribution hall.This floor has the attractiveness of the height in all its rooms and the game of the inclined planes of the roof.The youth room has a dressing area and shoehorn armchairs, an en-suite bathroom with Velux and a balcony facing east.The children's room also has its own dressing area and bathroom.The main room stands out for its large dimensions, sofa area, large windows and exits to two balconies, original dressing area that leads to a bathroom with Jacuzzi. The pool area (12x4.5) has a 140 m2 wooden deck, a porch area that houses an outdoor dining area, chill-out area, latticework, outdoor shower, and a splendid garden with landscape design, palm trees, diversity of trees and hedges, sleeper paths, perimeter beaconing, tool shed and warehouse. This unique property has a design of spacious spaces, combining modernity and luxury.It has quality materials both in construction and in facilities such as: oak floors on the floor of the rooms, solid wooden doors, PVC exterior carpentry with triple glazing, BTicino mechanisms with emergency light, home automation installation (heating, fire, opening, flooding, etc.), central vacuum, reddish ceramic floors on the main floor, alarm, automatic irrigation, etc.The location in the central area of the Urbanization gives it a magnificent orientation, the farm is very sunny and with great privacy. The Fan of Plentzia, has sports courts such as fronton, paddle, tennis, swimming pools, social club with cafeteria, restaurant and mini-market, security with cameras, surveillance, barriers, etc.It is located 4 km from the Plentzia metro (there is communication with a minibus in coordination with the metro), 6 km from the port and beach of Plentzia.The urbanization has a privileged situation since it is surrounded by nature, mountains, sea and beach. Chalets Bizkaia is the first independent agency specialized and exclusive in the sale of unique properties, villas, chalets and large estates. Chalets Bizkaia is present in all the most important advertising media: written press, its own website and the leading real estate portals. The knowledge of the area of influence where we work, together with the experience of more than 24 years, make the choice options for the owners credible, professional and above all achievable. We are proud of having been able to maintain throughout our trajectory the founding principles and vision with which our company was born in 1999.",True,good,False,,1439.0,True,True,False,True,False,False,chalet,Plentzia,Detached house in isuskitza auzoa no number s/n,"[{'name': 'villaType', 'text': 'Villa'}]",True,True,independantHouse,,,
94367677,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a6/cb/7b/1030537100.jpg,,77,,530000.0,chalet,sale,275.0,False,4,3,Isuskitza Auzoa no number,Vizcaya,Plentzia,,es,,43.390293,-2.9263553,True,https://www.idealista.com/inmueble/94367677/,14169,"EXCLUSIVE. SINGLE-FAMILY villa of 275 m2 built according to cadastre and plot of 1.482 m2 in the urbanization of El Abanico de Plentzia. The house with a functional exterior design is made of facing brick with a gabled roof, and inside the house has very cozy environments, with two floors, two very bright living rooms, fireplace, one of them with access to a covered porch, equipped kitchen, 4 bedrooms, 3 bathrooms, one being a suite with dressing room and bathroom. It has a pantry, woodshed and fully equipped 60 m2 txoko with access to the garden, where there is a beautiful concrete pergola, fruit trees, a garden area, a barbecue, a brick factory tool shed and another garden shed. Heating is oil with external tank. The location in the central area of the Urbanization gives it a magnificent orientation, therefore it is a very sunny farm and great privacy. The Urbanization of Isuskiza - El Abanico, has sports courts for fronton, paddle tennis, swimming pool for adults and children, children, pier for paddle-surfing and canoes-kayaks, social club with cafeteria, restaurant and mini-market, security with cameras CCTV, surveillance, barriers, etc. It is located 4 km from the Plentzia metro (there is communication with a minibus in coordination with the metro), 6 km from the port and beach of Plentzia. The urbanization has a privileged situation since it is surrounded by nature, mountains, sea and beach.",True,good,False,,1927.0,True,True,True,True,False,False,chalet,Plentzia,Detached house in Isuskitza Auzoa no number,,,,independantHouse,,,
99406324,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/99/93/60/1042890072.jpg,GOR-015,42,,640000.0,chalet,sale,233.0,False,4,4,"Calle Tribiñu, 3 -1",Vizcaya,Gorliz,,es,,43.4112776,-2.9331176,True,https://www.idealista.com/inmueble/99406324/,16486,"Would you like your home to be near the beach? This beautiful townhouse is located 15 minutes walk from the beach and at the door is the bus stop that takes you to the metro, from its attic you can enjoy the sea views. This fantastic home has a 20m² garden at the front and a 15m² terrace and 40m² of land at the back, which invites you to enjoy meals and evenings with friends and family. The ground floor houses the living room with a fireplace on two levels with large windows that give access to the garden, the fully equipped kitchen and a toilet. If we go up the stairs we find four double bedrooms, the main one with an en-suite bathroom and another bathroom for the other bedrooms. At the top is the diaphanous attic, a multipurpose space with maximum tranquility. In addition, it has a garage for two cars, a txoko with a cellar, the boiler room and another toilet, on the lower floor. This is the perfect house, do not miss this opportunity! At URBEGES INMOBILIARIA we are a very professional team with a vocation for service, with a great track record and experience, we give our clients a personalized service, we offer them the best solutions both in the purchase and in the sale of their property. We provide you with all the aspects that will affect the purchase of your home, we work to offer our clients the best properties, in the areas of Barakaldo, Plentzia, Leioa, Algorta, Bilbao, Berango, … among others. We cover all real estate needs for the sale of flats, premises, farms, lots, … We have national and international clients.",True,good,False,,2747.0,True,True,False,False,False,False,chalet,Gorliz,"Terraced house in Calle Tribiñu, 3 -1","[{'name': 'luxuryType', 'text': 'Luxury'}]",True,True,terracedHouse,,,
101009368,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8c/29/a7/1106912167.jpg,20591,31,1,290000.0,flat,sale,90.0,True,3,1,Calle Iturribide,Vizcaya,Bilbao,Ibaiondo,es,Solokoetxe,43.2559018,-2.9180187,False,https://www.idealista.com/inmueble/101009368/,1585,"Apartment for sale in Santutxu, in the upper part of Iturribide parallel to Zabalbide, two minutes from the Karmelo metro exit. It is located in a building with a concrete structure and a facing facade, built in 1972, with an electric elevator in the portal and an elevator. The floor is distributed as follows: Spacious entrance hall, with space for a built-in wardrobe. Large living room with window and balcony. Possibility of making dining area. Kitchen renovated in 2014, fully equipped, with a window to the patio. 3 bedrooms, two of them exterior (one of them as a living room and the other as a main room with access to a large patio of almost 5m²). The third bedroom is interior. Spacious, very comfortable bathroom with double sink, shower tray and window to patio. All the windows are PVC Climalit, the exterior ones being covered with wood and facing south. The floors are parquet although they are currently carpeted. This house has hot water and heating by individual natural gas boiler. Community fees are 40 euros per month. ITE passed in 2016, with a renovated façade and roof. The apartment is left furnished, with furniture less than a year old such as sofas, beds or electrical appliances. Great opportunity. Just 2 minutes from the Karmelo metro exit and five from Plaza Unamuno in the Casco Viejo. It has all the necessary services (banks, schools, hospitals, supermarkets, etc. ) within a radius of 400 meters. For more information, do not hesitate to consult our website. We look for you the best mortgage.",True,good,False,True,3222.0,True,True,False,False,False,False,flat,"Solokoetxe, Bilbao",Flat in Calle Iturribide,,,,,,,
96645037,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/21/6c/f0/1008865925.jpg,BARR-005,80,,1390000.0,chalet,sale,600.0,False,5,5,Errepidea Nagusia,Vizcaya,Barrika,,es,,43.4050748,-2.9677071,False,https://www.idealista.com/inmueble/96645037/,16016,"In Barrika you will find this spectacular house built with high-end materials, with a very modern interior design, with spacious rooms, lots of natural light that give the house extra comfort and enjoying panoramic views of the sea that are impossible to beat.A stunning design statement in a fabulous landscape. Inside the house pours the natural beauty of luxury and light through its impressive windows.On the ground floor we find a diaphanous area, a large hall, which gives way to the rest of the rooms, the jewel of the house is its spectacular circular living room with large windows to contemplate the spectacular views of the sea and the pool.The large kitchen is equipped with high-end appliances, it also has a large office.If we go up the wooden stairs that give us access to the first floor, we find three very large bedrooms with en-suite bathrooms, cabins and a hydromassage bathtub.If we continue going up we find an attic area, with a toilet and access to the terrace. The semi-basement floor with direct access to the garden is diaphanous, with a ping pong table, a room with a bathroom with a shower, a cellar and a garage.With new Finnish sauna of a large size 262 x 258 x 212 cm, with natural stone The entire house has underfloor heating in Anotlini Luigi granite, security doors, armored windows and glass, a centralized vacuum system connected to all three floors, an elevator located inside the house, an alarm and video surveillance cameras. A 1500 m² estate, with an idyllic garden and swimming pool, its aesthetic aspect predominates as well as its functional one. Barrika is a small coastal municipality located in the province of Bizkaia, between the towns of Sopela and Plentzia, with great natural attractions such as dizzying cliffs, rocky and sandy beaches and green fields.Just 30 minutes from the capital, Bilbao. There are not many homes like this, take advantage of this opportunity! At URBEGES INMOBILIARIA we are a very professional team with a vocation for service, with a great track record and experience, we give our clients a personalized service, we offer them the best solutions both in the purchase and in the sale of their property. We provide you with all the aspects that will affect the purchase of your home, we work to offer our clients the best properties, in the areas of Plentzia, Leioa, Algorta, Bilbao, Berango, … We cover all real estate needs for the sale of flats, premises, farms, plots,… We have national and international clients. If this home is not what you are looking for, contact us and we will make a personalized search for you, adapting to your needs without any commitment.",True,good,False,,2317.0,True,True,False,False,False,False,chalet,Barrika,Detached house in Errepidea Nagusia,"[{'name': 'villaType', 'text': 'Villa'}, {'name': 'luxuryType', 'text': 'Luxury'}]",True,True,independantHouse,,,
94827909,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1f/2e/83/951880003.jpg,M1082-EXC,32,2,490000.0,flat,sale,146.0,True,4,3,Zomilloren Estrata,Vizcaya,Santurtzi,Larrea - San Juan de Dios - Peñota,es,,43.3280968,-3.0262354,False,https://www.idealista.com/inmueble/94827909/,10339,"IN EXCLUSIVE. - APARTMENT OF 136 M2. Double garage plot, with direct access. Private urbanisation. Fully exterior. Dining room with access to a large terrace House with 4 bedrooms and 3 bathrooms. The main bedroom with bathroom and dressing room. Very large kitchen with terrace. Central heating Double garage plot with direct access from the house, with good access and storage room, located on the storage room floor. Private urbanization with large common areas and gardens, clear and sunny views.",True,good,False,True,3356.0,True,True,False,True,False,False,flat,"Larrea - San Juan de Dios - Peñota, Santurtzi",Flat in Zomilloren Estrata,,True,False,,0.0,,
96922076,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/0f/10/85/979732105.jpg,784-22,61,1,860000.0,flat,sale,240.0,True,5,3,"Los Fueros, 2",Vizcaya,Getxo,Neguri,es,,43.3427013,-3.0080723,True,https://www.idealista.com/inmueble/96922076/,10652,"HOUSING DESCRIPTION ""EXCLUSIVE"" IN THE RESIDENTIAL CENTER OF NEGURI WE HAVE THIS FANTASTIC HOUSE, VERY BRIGHT AND WITH A MAGNIFICENT LAYOUT, with beautiful views of the Getxo Town Hall and the Plaza de San Ignacio in a building designed by the architect Eduardo Chávarri located very close to the metro and from the bus stops, just five minutes from the center of Algorta along the Paseo de Basagoiti, it has two beautiful terraces and a private community garden of 650 m2. and consists of the following distribution: Large hall with gabanero. Very large living room - dining room with large windows and access to a beautiful terrace with frontal views of the Town Hall and the Plaza de San Ignacio. Master bedroom en suite with dressing area and exterior bathroom. Three bedrooms, all with fitted wardrobes and one of them with access to a second terrace. Full bathroom in the hallway. Large kitchen with office, laundry room, cleaning room and clothesline. Service bedroom and bathroom. Garage, bike room, cellar closet and exterior cabin of 23 m2. The building has rehabilitated the roof, patio, facade and garage, with no spillage pending.",True,good,False,True,3583.0,True,True,False,False,False,False,flat,"Neguri, Getxo","Flat in Los Fueros, 2",,True,True,,,Featured,
98332301,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b1/a5/76/1008430624.jpg,1649,56,4,490000.0,flat,sale,108.0,True,3,2,"Avenida del Ferrocarril, 1",Vizcaya,Bilbao,Indautxu,es,Sabino Arana-Jesuitas,43.2596208,-2.9460602,True,https://www.idealista.com/inmueble/98332301/,972,"FOR SALE EXCLUSIVELY, NON-NEGOTIABLE PRICE, this magnificent totally exterior-facing house on the fourth floor and located in the Indautxu neighborhood, measuring 108m2 according to cadastre, distributed in a spacious entrance hall and living room with a separate dining room attached by a double door (this one can easily be converted in a fourth room if needed), 3 bedrooms, one of them used as an office / service room, kitchen equipped with a small attached pantry, 2 bathrooms (1 full of good size and with a brand new shower tray and window ventilation, and another currently as a toilet but with permission from the Community to extend it an additional 3m2 in the ventilation patio area, as they have already done on the 3 floors below the house).The house is totally exterior except for the 2 bathrooms, on a chamfer, with 7 large windows facing the street (one of them a triple window in the form of a small gazebo in the living room), all facing West (only 1 room facing North), which which makes the house have a lot of light throughout the day, and with direct sun throughout the afternoon until dusk.Located on the fourth floor, it has beautiful views over the entire urban area around the house, also perfectly visible, for example, Mount Serantes de Santurtzi.8-storey concrete building, from 1960, it has passed the ITE and updated the roof, facade and portal with elevator to ground level and video intercom.The house is in a good state of habitability but it is also perfect for a reform or update to a more modern layout, with new tilt-and-turn windows around its entire outer perimeter made up of the kitchen, 3 bedrooms, dining room and living room.Heating (iron radiators with water pipes) and electric hot water, although it can be connected to city gas.Community expenses of €58 per month.Double entrance door located in such a way that they would even allow a possible segregation of the house into, for example, 2 independent apartments if the community and municipal regulations in this regard were complied with.Located in Indautxu a few meters from Termibus, the Sabino Arana metro stop or the Autonomía commuter train station, it has around it health services, schools (La Pureza de María, Jesuitas), all kinds of shops and supermarkets such as Eroski, Mercadona, Lidl, etc.It is an area of Indautxu in full expansion and renovation with the new Boulevard de Sabino Arana, the new residential and service area of Garellano (Termibus, residential towers, new Hotel) or the new green corridor as a boulevard in de Maria Diaz de Haro street.THERE IS AN OFFICIAL APPRAISAL FOR THE YEAR 2022 (March) of €516,617.Last announced price reduced from the initial announcement, NOT NEGOTIABLE. This would be the detail of your purchase expenses: I Tax.T.P.(Patrimonial Transfer Tax) of 4% (general rate) or 2.5% (reduced rate), depending on the destination of the home (for habitual residence or not), to be calculated on the Minimum Attributable Value (V.M.TO.) which in this case is €329,641.61.Apart from the tax, you would have to pay as a buyer the Notary expenses, estimated at €1,200 to €1,500 depending on whether or not you mediate a Mortgage in the purchase as well as the specific Notary that you finally choose.Finally, if you partially or fully reform this home, we have very good options of specialized companies to recommend you, in this case you must have an estimated price of €500 to €1000 per square meter built. Do you want to make a visit without obligation? We make visits EVERY day, including Sundays, by having keys in this case.",True,renew,False,True,4537.0,True,True,False,False,False,False,flat,"Sabino Arana-Jesuitas, Bilbao","Flat in Avenida del Ferrocarril, 1",,,,,,,
