propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,labels,superTopHighlight,topNewDevelopment,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,neighborhood,hasLift,parkingSpace.parkingSpacePrice,newDevelopmentFinished
463175,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/a9/4e/1034478661.jpg,MOV00825,43,3400000.0,chalet,sale,995.0,False,8,7,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,40.5071449,-3.6284584,False,https://www.idealista.com/inmueble/463175/,11898,"DESALAS. Ref: MOV00825. En la EXCLUSIVA zona sur de La Moraleja, con una ubicación magnífica y muy bien comunicada, les presentamos este magnífico chalet independiente de 1000 m2 construidos que se encuentra sobre una parcela de 3000 m2, con un consolidado arbolado, piscina y total privacidad, que les invitamos a conocer. Se trata de un gran chalet de estilo andaluz distribuido en tres plantas, con una construcción sólida y de gran calidad tanto en sus materiales como en su diseño, en este chalet se tuvieron en cuenta especialmente las zonas exteriores. Así, encontramos una espectacular zona de porches en la planta baja, flanqueada por arcos de medio punto, y una impresionante terraza en la planta primera. Toda la casa está rodeada de un arbolado centenario, que crea rincones únicos en los jardines y que hace que las vistas desde las zonas exteriores sean realmente especiales.  En el impresionante interior amplias estancias y una especial distribución con orientación al sur hace que se disfrute de mucha luz natural, algo que se potencia con el uso de grandes ventanales de suelo a techo en las estancias principales. La superficie de algunas de ellas son muy destacables, como por ejemplo las cuatro áreas de salones de la zona noble y el gran comedor para albergar muchos invitados. Todas las plantas están comunicadas a través de las escaleras y además dispone de un ascensor. Vivir en este magnífico chalet independiente de estilo clásico y atemporal, con un entorno natural inmejorable y en la mejor zona de Madrid es posible. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. DESCRIPCIÓN PLANTA BAJA - Hall de entrada, Salón, Cuarto de estar, Aseo de invitados. - 2 grandes porches. - Dormitorio de servicio con baño. - Cocina y kitchenette, Comedor de diario. - 2 dormitorios, 1 baño. PRIMERA PLANTA - Salón, Comedor, Aseo de invitados, Biblioteca con chimenea. - Gran terraza. ÁTICO - Cuarto de Estar con chimenea. - 2 dormitorios, 1 baño.  SÓTANO - Bodega, Trastero. - Ascensor. - Garaje: (4 plazas). - Calefacción por gasóleo y alarma - Piscina.",True,good,False,3417.0,True,True,False,True,"[{'name': 'villaType', 'text': 'Villa'}, {'name': 'luxuryType', 'text': 'Lujo'}]",False,False,True,True,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente,,,,,
95331129,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3a/dd/08/928091525.jpg,13746,51,2000000.0,chalet,sale,441.0,False,5,5,Julio Caro Baroja,Madrid,La Moraleja,Encinar de los Reyes,es,40.5076347,-3.6462289,False,https://www.idealista.com/inmueble/95331129/,11214,"Suma Moraleja le ofrece este espléndido y luminoso chalet pareado ubicado en El Encinar de los Reyes, dentro de urbanización privada que cuenta con seguridad 24 horas, dos piscinas, pistas de pádel y parque infantil. Esta magnífica urbanización está ubicada muy cerca del centro comercial y tiene muy buenas comunicaciones. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB ""SUMAINMOBILIARIA. ES"" PARA VER MÁS VIVIENDAS EXCLUSIVAS. Esta vivienda de 441 m2 se distribuye de la siguiente manera: en la planta principal encontramos el hall de entrada, un aseo de cortesía, dos grandes salones exteriores con cristaleras, que tienen acceso directo al amplio porche, diferenciado en tres ambientes, y al precioso jardín que cuenta con barbacoa y un comedor independiente. En esta planta también se sitúa una luminosa cocina que tiene acceso a uno de los dos salones, al igual que a la zona de lavadero-tendedero. Materiales de máxima calidad en toda la vivienda, entre ellos, suelos de madera de Sucupira. La planta superior alberga tres amplios y luminosos dormitorios familiares en suite, dos de ellos con baño compartido y con salida a sendas terrazas de unos 5 m2. Una de las terraza dispone además de un trastero/maletero muy amplio. El dormitorio principal cuenta con un amplio vestidor, terraza y baño completo. (inicialmente en esta planta se encontraban 4 dormitorios, uno de ellos se convirtió en dicho vestidor).  En la buhardilla se encuentra una zona de despacho que cuenta con tres ventanas velux. En la planta sótano encontramos dos dormitorios con su baño en suite, siendo uno de ellos el dormitorio de servicio. Esta planta consta de acceso directo al garaje comunitario donde se ubican 1 amplia plaza de aparcamiento más otra plaza para dos motos, que completan está espléndida propiedad.",True,good,False,4535.0,True,True,False,True,"[{'name': 'luxuryType', 'text': 'Lujo'}]",False,False,True,True,chalet,semidetachedHouse,"Encinar de los Reyes, La Moraleja",Chalet pareado en Julio Caro Baroja,,,,,
100527915,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8a/2d/a2/1092371500.jpg,JM183053,38,475000.0,flat,sale,125.0,True,3,2,Calle Castillo de Candanchú,Madrid,Madrid,Fuencarral,es,40.5046674,-3.6788937,False,https://www.idealista.com/inmueble/100527915/,9997,"GILMAR MORALEJA ofrece estupendo PISO EN LAS TABLAS, 3 DORMITORIOS, 2 BAÑOS, URB. PRIVADA Esta ubicado en una finca construido en 2006, en una urbanización cerrada que cuenta con piscina, zona ajardinada, gimnasio, parque infantil, sala libre para cualquier tipo de eventos, portero de 24 horas y cámara vigilancia de 24 horas. La vivienda se encuentra en perfecto estado de conservación. El piso cuenta con DOS PLAZAS DE GARAGE y un trastero incluido en el precio. La vivienda cuenta con 125 M2 (REGISTRO CATASTRAL), según registro catastral distribuidos en: -Tres dormitorios -Dos baños -Un salón con acceso a la terraza -Una terraza pequeña -Una cocina independiente -Un cuarto tendedero -Un pasillo distribuidor Dispone de calefacción individual en todas las estancias y armario empotrado en todas las habitaciones y pasillo distribuidor. Las Tablas es un área residencial ubicada en el barrio de Valverde, en el distrito de Fuencarral-El Pardo de Madrid, construido a principios de los 2000. Está situado al oeste de la autovía A-1 y colinda al sureste con Sanchinarro, al oeste con Montecarmelo, Tres Olivos y el casco histórico de Fuencarral y al norte con Alcobendas.  La zona ofrece el acceso cercano a colegios, parques, hospital, supermercados y centro comercial y se encuentra en el kilómetro 0 del Anillo Verde Ciclista de Madrid, una vía ciclista y peatonal que circunvala la ciudad de Madrid en sus más de 60 km y que es utilizada a diario por los ciudadanos. Está muy bien conectada, tanto por autobús, Metro, Cercanías y Metro ligero, de día como en servicio nocturno. También acoge varias sedes empresariales, como el campus de Telefónica, Ciudad BBVA, Dragados, FCC, Seguros CASER, BMW, Renault, Peugeot, Hyundai, Huawei y Mediaset, entre otras.  Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visite nuestra web y encuentre la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario.",True,good,False,3800.0,True,True,False,True,,False,False,True,True,flat,,"Las Tablas, Madrid",Piso en Calle Castillo de Candanchú,5,Las Tablas,True,,
27686133,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3f/c3/05/998153885.jpg,XV 5858,49,1480000.0,chalet,sale,180.0,False,3,2,Paseo de los Parques,Madrid,La Moraleja,Encinar de los Reyes,es,40.5124973,-3.6448723,False,https://www.idealista.com/inmueble/27686133/,11752,"REA Inmobiliaria ( ) presenta este pareado impecable y reformado en El Encinar de los Reyes. La casa de 180 m2 es muy luminosa y tiene una parcela de 475 m2. Tiene agradables zonas comunes con piscina y pádel.  La distribución es muy cómoda al ser en una sola planta. Entrando por la puerta principal, nos encontramos con el hall de entrada, salón-comedor con chimenea y salida al jardín, aseo de visitas, cocina con zona de office completamente reformada, tres dormitorios y dos baños. El dormitorio principal también reformado, tiene salida al jardín, baño en suite y un amplio vestidor. Todos los dormitorios de la casa tienen armarios empotrados perfectamente vestidos. La calefacción es por Gas Natural. Tiene garaje bajo techado para dos coches. La urbanización tiene zonas verdes, piscinas, cafetería de verano, tenis y parque infantil. Disponemos de otras muchas propiedades similares que no están publicadas en Idealista. Visite nuestra web reainmobiliaria. com El Encinar de los Reyes en una zona anexa al Soto de la Moraleja construida en su mayoría a partir de los años 90, y las casas suelen ser casas de esa época. Está lindando con La Moraleja por el sur. La zona está formada por pisos en grandes urbanizaciones cerradas con seguridad y grandes zonas ajardinadas de más de 10.000 m2 con piscinas, pádel, etc… todo muy pensado para los más pequeños. La población suele ser joven y los niños de corta edad. Los pisos son más nuevos que en El Soto pero las dimensiones de sus estancias suelen ser inferiores y normalmente no suelen tener el área de servicio diferenciada. Además, hay chalets adosados y pareados dentro de grandes urbanizaciones con seguridad 24 horas y zonas comunes. Por último, esta zona cuenta también con chalets pareados sin zona común para gente que quiera vivir en un chalet con independencia y también algunos chalets independientes con jardines de 1000 m2, en algunos casos con vistas al campo de golf. El Encinar cuenta con un gran centro comercial donde se puede encontrar de todo, supermercado, farmacia, óptica, restaurantes, tintorería, papelería, mercería… todo lo que se precisa en el día a día. La comunicación con el centro de la ciudad se hace por medio de autobuses que recorren toda la zona y van hasta Plaza de Castilla o Alcobendas y San Sebastián de los Reyes. Existen varios colegios en el Encinar y su proximidad con los colegios de la Moraleja o el Soto no es de más de 10 minutos desde cualquier punto.",True,good,False,8222.0,True,True,False,True,,False,False,True,True,chalet,semidetachedHouse,"Encinar de los Reyes, La Moraleja",Chalet pareado en Paseo de los Parques,,,,,
100811612,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/74/d8/9c/1099678974.jpg,XV 2797,53,3600000.0,chalet,sale,600.0,False,6,6,HOYARRASA,Madrid,La Moraleja,La Moraleja urbanización,es,40.5269953,-3.6197805,False,https://www.idealista.com/inmueble/100811612/,14166,"REA Inmobiliaria (916508937) ofrece este fantástico e impecable chalet independiente situado en La Moraleja recién reformado, con orientación sur en estupenda parcela muy bien situada con piscina y pista de tenis. Tiene 600 m2 construidos (550 útiles aprox.) en parcela totalmente llana de unos 2200 metros cuadrados que se caracteriza con la siguiente distribución súper cómoda: Planta de Entrada: Hall de entrada con espectacular salón en dos ambientes el principal con una superficie semicircular y otro con chimenea, aseo de invitados, despacho, un gran comedor, dormitorio de invitados en suite y la zona de la cocina, que tiene un gran pasillo con zona de almacenaje, dormitorio de servicio con cuarto de baño, zona de lavandería y acceso al garaje interior con capacidad para dos coches y otra plaza exterior. Desde el comedor se accede al porche cerrado donde hay una zona de estar/comedor también con planta circular desde la que se accede al estupendo jardín donde encontramos una piscina, pista de tenis y un porche. Planta superior: encontramos una amplia sala de estar central con mucha luz en la que alrededor se distribuyen los cuatro dormitorios en suite, todos de muy buen tamaño y con los baños reformados, el principal con zona de estar y vestidor. Dispone de planta sótano actualmente sin habilitar. La parcela esta muy bien situada, cerca del centro comercial y transporte publico, con acceso al paseo de Alcobendas desde el jardín.  Tiene calefacción por gasoil con radiadores y alarma.  Disponemos de otras muchas propiedades similares que no están publicadas en Idealista. Visite nuestra web reainmobiliaria.com La Moraleja es el área residencial de lujo por excelencia de Madrid. Se halla a tan solo 15 minutos del Aeropuerto y 10 minutos del centro de la Ciudad. Está comunicado por autobuses que recorren la zona hasta Plaza Castilla en Madrid, o Alcobendas y San Sebastián de los Reyes. Existen solamente dos tipos de viviendas, bien chalets pareados de lujo dentro de urbanizaciones con vigilancia y grandes zonas comunes que tienen aproximadamente 400 m2 a 600 m2 construidos, o bien casas individuales con parcelas de 10.000m2 a 1.000 m2 dependiendo del área donde se encuentren. La Moraleja está lindando por el sur con el Encinar de los Reyes y por el norte con El Soto de la Moraleja. Es un área que goza de gran seguridad gracias a la seguridad activa de la zona y privilegiada situación. Las parcelas cuentan con numerosas encinas centenarias y los jardines están muy consolidados gracias a que esta área se urbanizó en los años 60 y por tanto la zona goza en la actualidad de gran solera. Prácticamente no quedan parcelas libres para construir, o bien se compra una casa y se reforma o bien se tira la casa si es muy antigua y se construye con los nuevos estándares construcción. En los últimos 5 años se han procedido a reformar y construir muchas casas antiguas de los años 60 convertidas ahora en grandes casas que están ahora en la vanguardia de la construcción actual.  Las parcelas de la Moraleja solo permiten construir chalets unifamiliares, porque es un área totalmente residencial. Dentro de la Moraleja hay varios colegios internacionales y nacionales y su proximidad con el Soto y el Encinar no dista de más de 10 minutos desde cualquier punto. En esta zona existe un centro comercial con todo lo necesario para el día a día, esto es, farmacia, supermercado, peluquería, cafeterías, panadería y diversas tiendas además de un centro de salud.",True,good,False,6000.0,True,True,False,True,"[{'name': 'luxuryType', 'text': 'Lujo'}]",False,False,,,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente en Hoyarrasa,,,,,
99964346,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/43/31/dd/1066118957.jpg,ACP 180752,57,2000000.0,chalet,sale,441.0,False,5,5,Encinar de los Reyes,Madrid,La Moraleja,Encinar de los Reyes,es,40.5073094,-3.6460471,False,https://www.idealista.com/inmueble/99964346/,11189,"Gilmar Consulting Inmobiliario ofrece este espléndido chalet de esquina, de cinco dormitorios, con 441 m2 construidos sobre una parcela de más de 800 m2, situado dentro de una de las mejores urbanizaciones de El Encinar de los Reyes, dotada de seguridad 24 horas, dos piscinas, pista de pádel y parque infantil. Su ubicación es inmejorable dada su cercanía a colegios y zona comercial. Esta propiedad se distribuye en tres plantas y una zona de buhardilla. Planta principal: amplio hall, magnífico salón comedor con salida al espectacular porche y jardín, una sala de estar, una cocina con posibilidades de ampliación, una despensa, y una espaciosa zona de lavandería y tendedero. Esta planta se completa con un aseo de cortesía. El fabuloso porche cuenta con zona de salón y comedor exterior.  En la planta superior se ubican tres dormitorios familiares, el dormitorio principal, que cuenta con baño en suite y un amplio vestidor, tiene salida a una bonita terraza con bonitas vistas. Los otros dos dormitorios comparten un cuarto de baño. En la terraza hay un espacio muy amplio para almacenaje. Planta inferior: hay un amplio dormitorio con cuarto de baño en suite y un dormitorio de servicio con baño. Desde aquí se accede al garaje que tiene capacidad para 1 coche con carga eléctrica y 2 motos. En el magnífico jardín encontramos una barbacoa junto al comedor exterior y una pista privada de baloncesto. La Moraleja, compuesta por La Moraleja, El Soto y El Encinar de los Reyes, es el área residencial de lujo por excelencia de Madrid y la más conocida de España, situada en la zona Norte de Madrid. Según algunas publicaciones de prestigio mundial, es la mejor urbanización del mundo, teniendo en cuenta sus cualidades. Está situada a 10 minutos del centro y a 5 minutos de la terminal Internacional 4 del Aeropuerto Adolfo Suárez. en el término municipal de Alcobendas, y tiene una extensión de 950 hectáreas, con 1.050 viviendas independientes sobre parcelas de 1.500, 2.500 y 10.000 m2 y con 400 adosados en 9 urbanizaciones diferentes. La Moraleja cuenta con el mayor número de colegios privados nacionales e internacionales de toda España (entre otros el International College, King’s College, San Patricio, Runnymede, Los Sauces, Brains, Santa Helena, Saint George, Highlands, Aldovea, Liceo Europeo, etc…). Acoge además uno de los dos campus que la Universidad Europea de Madrid tiene en la Comunidad de Madrid. Cuenta asimismo con varios centros comerciales y médicos, dos campos de golf de 18 hoyos, club de tenis, club de paddle, y una de las ofertas gastronómicas más atractivas de Madrid. Hay que destacar La Plaza de la Moraleja, donde se encuentran los principales y más prestigiosos restaurantes de Madrid (A’Kangas, La Máquina, Aspen, La Penela, La Sabina, Salvaje) Cafeterías (Pino), Embassy, farmacia, bancos etc… Es un área que goza de gran seguridad gracias al sistema de alarmas que está conectado con la Entidad de Conservación de La Moraleja y las garitas de seguridad ubicadas en las diferentes entradas de acceso a la zona.   Vivir en la Moraleja significa calidad, exclusividad y comodidad en un entorno inigualable y con los mejores servicios.",True,good,False,4535.0,True,True,False,True,"[{'name': 'luxuryType', 'text': 'Lujo'}]",False,False,True,True,chalet,semidetachedHouse,"Encinar de los Reyes, La Moraleja",Chalet pareado,,,,,
100810184,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/95/cf/c2/1100735867.jpg,MV184104,35,650000.0,flat,sale,112.0,True,3,2,Calle DE LA POETA ANGELA FIGUERA,Madrid,Madrid,Chamberí,es,40.4445779,-3.714122,False,https://www.idealista.com/inmueble/100810184/,3212,"Fantástico inmueble exterior con terraza y muy luminoso. En origen eran 4 habitaciones pero una de ellas se ha unido al salón. Orientación norte y vistas despejadas y muy agradables a la sierra y al Monte del Pardo. Posibilidad de plaza de garaje en finca. El piso se distribuye en un recibidor que da acceso a una cocina independiente con office. Salón-comedor con acceso a terraza. Habitación principal exterior. Baño completo. 2 habitaciones a patio de luces y por último un baño completo que da servicio a estas dos últimas estancias. Excelente finca con portero en muy ubicación. Área muy tranquila y residencial con buena comunicación.  La vivienda se ubica dentro del distrito de Chamberi, en el barrio de Vallehermoso, una ubicación privilegiada hacia la salida noroeste de la capital y la posibilidad de acceder a todas las necesidades básicas diarias sin cruzar la calle: farmacia, supermercado, prensa, panadería, papelería, cafeterías y bancos, así como metro muy cercano. Además, a menos de cinco minutos a pie se dispone de las instalaciones del parque deportivo del Canal Isabel II, con campo de prácticas de golf, pádel, fútbol y pista de jogging de suelo amortiguado para el cuidado de la salud. Disponemos de más de 30 oficinas en Madrid, Marbella, Estepona, Puerto Banús, Sevilla, Cádiz, Jerez e islas Canarias. Nuestra sede central está ubicada en la calle Goya, 47. Durante más de 36 años hemos demostrado nuestra profesionalidad y atención exquisita Gilmar cuenta con más de 4.000 viviendas en venta, pisos de segunda mano, pisos nuevos, chalets, villas, primera línea de playa, fincas rústicas… Visita nuestra web y encuentra la mejor inversión inmobiliaria de la mano de los mejores profesionales del sector inmobiliario. Madrid capital: -Chamberí (Almagro, Trafalgar, Vallehermoso, Nuevos Ministerios - Ríos Rosas, Arapiles y Gaztambide). Llámanos y te ayudaremos a encontrar la casa de tus sueños. Las mejores opciones de inversión para rentabilizar tu dinero.",True,renew,False,5804.0,True,True,False,False,,False,False,True,False,flat,,"Vallehermoso, Madrid",Piso en Calle De La Poeta Angela Figuera,5,Vallehermoso,True,30000.0,
100166618,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/8c/5c/1074216874.jpg,V6816I,92,6000000.0,chalet,sale,850.0,False,7,7,Calle del Camino Alto,Madrid,La Moraleja,La Moraleja urbanización,es,40.5127671,-3.6179932,False,https://www.idealista.com/inmueble/100166618/,12907,"Venta. Chalet independiente. La Moraleja. Espectacular casa independiente de casi 1.000 metros cuadrados construidos sobre preciosa parcela plana y orientada a sur de algo más de 2.500 metros cuadrados que se emplaza en tranquilo fondo de saco de la urbanización. Destaca por su arquitectura elegante inspirada en las grandes casas Italianas, sus materiales de gran calidad (mármoles, piedras y madera) y por su jardín consolidado de bellísimo diseño. 7 dormitorios con 5 baños. Para entrar a vivir con muy poca actualización necesaria. Pozo. Su arquitectura, desarrollada en forma de L, capta la luz de la orientación sur y ofrece un cómodo acceso a su frondoso jardín con piscina y porches. Sus materiales son todos de gran calidad, la piedra, los mármoles y la carpintería se combinan de manera acertada para conseguir un conjunto homogéneo de corte clásico mediterráneo. La planta de entrada se distribuye a través de un hall de entrada con doble altura, con arranque de escalera y aseo de invitados. Desde el hall se accede directamente al salón con gran altura de techos, comedor y porche. También se puede acceder desde el hall a la zona de cocina que destaca por sus grandes dimensiones y una agradable sala de estar incorporada. Todas las estancias tienen acceso directo a porches y jardín. Hay un patio precioso junto a la entrada. La primera planta distribuye los dormitorios principales: 4 con 3 baños, el principal con vestidor y sala de estar con acceso a terraza.  La buhardilla contiene un dormitorio con baño (ideal para invitados), y 2 espacios adicionales,uno de ellos también con baño completo, que pueden ser destinados a cualquier uso (despacho y sala de estar, por ejemplo). El sótano contiene una bodega perfectamente acondicionada, una sala de estar, un dormitorio de servicio y un gran espacio con armarios. Por ultimo encontramos un garaje y un parquin exterior que entre ambos pueden albergar, fácilmente, 6 coches. La casa tiene pozo. La calefacción es por suelo calentado por gasoil. Aire acondicionado en toda la casa. Excelente oportunidad por su relación calidad precio. Probablemente La Moraleja sea la urbanización residencial de lujo más conocida de España. Los muchos personajes famosos que la han elegido como residencia habitual son responsables de su importante presencia mediática. Situada al norte de Madrid, en el término municipal de Alcobendas, tiene una extensión de 950 hectáreas. Cuenta con 1050 viviendas independientes sobre parcelas de 1.500, 2.500 y 10.000 m2 y con 400 adosados en 9 urbanizaciones diferentes. Tanto su estratégica ubicación -a un paso del centro de la capital (12km) y a escasos kilómetros del aeropuerto de Barajas (5km)- como sus férreas medidas de seguridad y sus muchas opciones de escolarización privada, ocio, deporte y salud, han convertido La Moraleja en un referente residencial en nuestro país.  Junto a las urbanizaciones de El Soto y El Encinar, conforman un núcleo geográfico de similares características demográficas. Su código postal es el 28109. Es aquí, en la plaza de La Moraleja (junto a la farmacia), donde Promora atiende a los clientes que quieren acceder a las viviendas de la zona norte de Madrid. En Idealista sólo podrá ver algunos de nuestros inmuebles, entre en nuestra web y conozca toda nuestra oferta.",True,good,False,7059.0,True,True,False,True,"[{'name': 'villaType', 'text': 'Villa'}, {'name': 'luxuryType', 'text': 'Lujo'}]",False,False,True,True,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente en Calle del Camino Alto,,,,,
25689137,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/44/8b/1075626519.jpg,V4093I,92,5300000.0,chalet,sale,1200.0,False,6,6,Camino Viejo,Madrid,La Moraleja,La Moraleja urbanización,es,40.5184256,-3.6089508,False,https://www.idealista.com/inmueble/25689137/,13860,"Venta. Chalet independiente. La Moraleja. Casa de 900 metros cuadrados aproximados actualizada íntegramente y emplazada sobre bonita parcela ajardinada de 2.800 metros cuadrados. Arquitectura tradicional atemporal basada en una cubierta de pizarra negra en cuadrículas y pizarra natural oxidada gruesa de mampostería en la fachada. El interior, distribuido en dos plantas principales y sótano, tiene como protagonista la piscina central climatizada que, por su configuración puede ser utilizada durante todo el año. Cuatro dormitorios con cuatro baños en suite y zona completa para el servicio con dos dormitorios, sala de estar y baño completo. Ascensor que recorre las tres plantas. Garaje para 6 coches. Pozo con aljibe. Ya desde el hall de entrada domina la presencia de la piscina interior. En este nivel se encuentra el enorme salón-comedor de 140 metros cuadrados con acceso a porche cubierto, zona de barbacoa y la piscina. Este nivel contiene, además, la cocina y el gran dormitorio principal con dos baños y sala de estar con chimenea. La planta de arriba ofrece tres dormitorios con tres baños, los tres en suite, y con su propio vestidor, una sala de estar común, y la completa zona para el servicio con dos dormitorios, sala de estar y baño completo. La planta sótano llama la atención por una discoteca diáfana de unos 150 metros cuadrados, aseo, despacho con cámara acorazada, bodega climatizada para 6.000 botellas, despensa, lavandería y dos cámaras de frio y congelación respectivamente. Todas las instalaciones son nuevas, la calefacción es de gasoil, la casa tiene pozo y aljibe, la piscina se calienta con un intercambiador de calor. Ascensor que recorre los tres niveles. Aire acondicionado. Impecable, para entrar a vivir.  Probablemente La Moraleja sea la urbanización residencial de lujo más conocida de España. Los muchos personajes famosos que la han elegido como residencia habitual son responsables de su importante presencia mediática. Situada al norte de Madrid, en el término municipal de Alcobendas, tiene una extensión de 950 hectáreas. Cuenta con 1050 viviendas independientes sobre parcelas de 1.500, 2.500 y 10.000 m2 y con 400 adosados en 9 urbanizaciones diferentes. Tanto su estratégica ubicación -a un paso del centro de la capital (12km) y a escasos kilómetros del aeropuerto de Barajas (5km)- como sus férreas medidas de seguridad y sus muchas opciones de escolarización privada, ocio, deporte y salud, han convertido La Moraleja en un referente residencial en nuestro país.  Junto a las urbanizaciones de El Soto y El Encinar, conforman un núcleo geográfico de similares características demográficas. Su código postal es el 28109. Es aquí, en la plaza de La Moraleja (junto a la farmacia), donde Promora atiende a los clientes que quieren acceder a las viviendas de la zona norte de Madrid. En Idealista sólo podrá ver algunos de nuestros inmuebles, entre en nuestra web y conozca toda nuestra oferta.",True,good,False,4417.0,True,True,False,True,"[{'name': 'villaType', 'text': 'Villa'}, {'name': 'luxuryType', 'text': 'Lujo'}]",False,False,True,True,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente en Camino Viejo,,,,,
97424400,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/51/7c/1094315948.jpg,V6744I,75,3500000.0,chalet,sale,512.0,False,6,6,Alto,Madrid,La Moraleja,La Moraleja urbanización,es,40.5095781,-3.6110652,False,https://www.idealista.com/inmueble/97424400/,12961,"Venta. Casa independiente. La Moraleja. Casa de estilo tradicional recientemente actualizada y lista para entrar a vivir. Casa de unos 525 metros cuadrados sobre parcela de casi 3.000 metros cuadrados. 5 dormitorios principales con 4 baños y completa zona para el servicio. Preciosa zona exterior y sala de juegos de gran tamaño. Localizada en un discreto fondo de saco muy privado, Promora presenta esta casa que se compone de dos edificios totalmente diferenciados pero físicamente unidos por una cubierta. El volumen principal se distribuye en tan solo dos plantas y conforma la casa principal con sus correspondientes estancias: hall con arranque de escalera y aseo de invitados, salón en dos ambientes bien diferenciados, comedor independiente con acceso a uno de los porches, cocina con comedor de diario, invernadero con acceso a huerto, y zona completa de lavandería. Este nivel se completa con una amplia sala de estar con acceso al exterior y que es el punto mas cercano con la vivienda anexa. Este volumen secundario ofrece una gran sala de estar (o cualquier destino deseado) de unos 50 metros cuadrados, una cocina y dos dormitorios con dos baños (uno grande de invitados y otro de servicio). Destaca su plataforma de exterior con chimenea y barbacoa, su gran piscina y el buen estado general de la propiedad. Probablemente La Moraleja sea la urbanización residencial de lujo más conocida de España. Los muchos personajes famosos que la han elegido como residencia habitual son responsables de su importante presencia mediática. Situada al norte de Madrid, en el término municipal de Alcobendas, tiene una extensión de 950 hectáreas. Cuenta con 1050 viviendas independientes sobre parcelas de 1.500, 2.500 y 10.000 m2 y con 400 adosados en 9 urbanizaciones diferentes. Tanto su estratégica ubicación -a un paso del centro de la capital (12km) y a escasos kilómetros del aeropuerto de Barajas (5km)- como sus férreas medidas de seguridad y sus muchas opciones de escolarización privada, ocio, deporte y salud, han convertido La Moraleja en un referente residencial en nuestro país.  Junto a las urbanizaciones de El Soto y El Encinar, conforman un núcleo geográfico de similares características demográficas. Su código postal es el 28109. Es aquí, en la plaza de La Moraleja (junto a la farmacia), donde Promora atiende a los clientes que quieren acceder a las viviendas de la zona norte de Madrid. En Idealista sólo podrá ver algunos de nuestros inmuebles, entre en nuestra web y conozca toda nuestra oferta.",True,good,False,6836.0,True,True,False,True,"[{'name': 'villaType', 'text': 'Villa'}, {'name': 'luxuryType', 'text': 'Lujo'}]",False,False,True,True,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente en Alto,,,,,
