propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,superTopHighlight,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,labels,newDevelopmentFinished,parkingSpace.parkingSpacePrice,highlight.groupDescription
95943149,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3e/5e/ed/932759260.jpg,JI167206,33,bj,206000.0,duplex,sale,100.0,True,1,2,PEDREZUELA,Madrid,Alcorcón,Campodón - Ventorro del Cano,es,Campodón - Ventorro del Cano,40.3929935,-3.8318661,False,https://www.idealista.com/inmueble/95943149/,11161,"Gilmar sells a 100 square meter duplex loft in the area of the ‘Ventorro del Cano’ industrial area, in front of the Montepríncipe de Boadilla del Monte urbanization. It is distributed over two floors. On the ground floor, a fully equipped American kitchen, bathroom, living room and exit to the garden or patio of approximately 20 square meters. On the upper floor, open area with full bathroom. On this floor the slab has been extended to complete the entire upper floor. It has air conditioning by Splits with heat pump. It has two parking spaces and a large storage room. In addition, it has a Concierge service from Monday to Saturday. It is very well connected, with light rail, bus and very direct access to the M-501 and M-40.",False,good,False,True,2060.0,True,False,False,True,False,False,True,True,flat,duplex,"Campodón - Ventorro del Cano, Alcorcón",Duplex in Pedrezuela,,,,
100943793,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/87/de/7f/1104722221.jpg,XV 8424,25,,2000000.0,chalet,sale,441.0,False,5,4,JULIO CARO BAROJA,Madrid,La Moraleja,Encinar de los Reyes,es,,40.5068819,-3.6453929,False,https://www.idealista.com/inmueble/100943793/,11170,"REA Inmobiliaria ( ) presents this magnificent corner semi-detached house in a private urbanization within El Encinar very close to shopping areas and schools. The urbanization has excellent common areas, swimming pool, tennis and children's areas apart from 24 hour security. It stands out for its luminosity thanks to its large windows that reveal the private garden, through a glazed porch with barbecue and next to it a small basketball area. The distribution is as follows: Ground floor: We access a hall that leads to a living room distributed in two areas and large windows, toilet and kitchen with laundry area, clothesline and pantry. The dining area overlooks the garden and the conservatory. Upper floor: Unique villa in the best urbanization of Encinar de los Reyes, in front of the Shopping Center. Huge garden with half a basketball court (official ACB basket). Spectacular porch with three main rooms. Luxurious Sucupira wood flooring. Two large living rooms with windows that open onto the porch. Guest and service room on the lower floor. Shed-storage room in the garden integrated into the vegetation. Fruit trees and shower with hot-cold water in the garden. Room - Attic with attic that can be used as an office or extra bedroom. Three en-suite bathrooms; a toilet on the ground floor and a shared bathroom. Master bedroom with walk-in closet. More than 20 built-in wardrobes. Large trunk that can be a storage room. Maximum qualities in materials. Two built-in bookshelves in the main hall. Pantry in the kitchen. A garage space for a car and a garage space for two motorcycles. Furniture - storage room built in the garage.",True,good,False,,4535.0,True,False,False,False,False,False,,,chalet,semidetachedHouse,"Encinar de los Reyes, La Moraleja",Semi-detached house in Julio Caro Baroja,"[{'name': 'luxuryType', 'text': 'Luxury'}]",,,
485126,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/28/46/e3/1095523778.jpg,XV 4498,40,4,305000.0,duplex,sale,78.0,True,1,1,Calle Maria Curie,Madrid,San Sebastián de los Reyes,Vega de la Moraleja,es,,40.5407111,-3.6195776,False,https://www.idealista.com/inmueble/485126/,15512,P. Entrance: Living room with kitchen and terrace of 10 m2. P. First: Bedroom with bathroom. P. Superior: Terrace of 40 m2. It has a garage space. Urbanization with pool and 24 hour security. heating by hot / cold air pump. distribution: 40 m2 open terrace Additional 10 m2 open terrace We have many other similar properties that are not published on Idealista. Visit our website.,True,good,False,True,3910.0,True,False,False,False,False,False,,,flat,duplex,"Vega de la Moraleja, San Sebastián de los Reyes",Duplex in Calle Maria Curie,,,,
99775532,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/f3/9d/1054219174.jpg,XV 8639,45,4,1125000.0,duplex,sale,270.0,True,4,3,CALENDULA,Madrid,La Moraleja,El Soto de la Moraleja,es,,40.5224584,-3.6471886,False,https://www.idealista.com/inmueble/99775532/,12688,"REA Inmobiliaria (916508937) presents this duplex penthouse located in Soto de la Moraleja within an urbanization with large common areas, swimming pools for adults and children, tennis court and children's area.South facing with lots of light and great possibilities to undertake a comprehensive reform. Distribution: On the entrance floor (53 m2) You access the main floor of the house through a hall and from here you pass a bright living room of about 40 m2 with views of the green common areas and a separate 48 m2 dining room.On this same floor is the large kitchen with an office area next to the service bedroom and a bathroom. Additionally, a bedroom with a bathroom is located on this same floor. On the upper floor (103 m2) we access a bright living room that leads to the master bedroom with a complete bathroom en suite and two bedrooms that share a bathroom.From the living room there is access to the terrace, which has a nice little garden of about 40 m2 with a gazebo area. The apartment is completed with a garage with direct access from the elevator and 2 storage rooms. The community has a swimming pool for adults and children, tennis court, children's area with swings and sandpit.It also has 2 rooms for celebrations Sentry box with concierge We have many other similar properties that are not published in Idealista. Visit our real estate website.com El Soto de la Moraleja is a residential area that includes semi-detached houses, apartments, penthouses, ground floors with gardens, semi-detached houses and all kinds of high-rise and semi-detached houses within large landscaped urbanizations, some with more than 10,000m2 of gardens with swimming pools, tennis etc… closed to the street and protected from the outside.In El Soto there are numerous national or international schools, in addition to an excellent urban transport network that runs through the entire urbanization and goes to Madrid capital (Plaza Castilla, Alcobendas and San Sebastián de los Reyes), in addition to the suburban metro that is also next to to Soto.In addition, this area has its own commercial area, with a supermarket, cafeteria and some banks.The houses are built from 1960 onwards, currently there are practically no newly built houses, but most are houses from the 70s onwards that have very good possibilities of reform and that are much more extensive in the dimensions of their rooms than the houses that are built today.The urbanizations are quite quiet in general and there is a middle-aged population with children who go to schools in the area.Almost all houses have a service area separated from the family area.This is a characteristic that greatly differentiates the annexed area of Encinar de los Reyes where the apartments do not usually have a separate service area.",True,good,False,True,4167.0,True,False,False,False,False,False,,,flat,duplex,"El Soto de la Moraleja, La Moraleja",Duplex in Calendula,,,,
98970232,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/5d/e6/1029894934.jpg,Bj A tipo 1A,5,bj,361072.0,flat,sale,102.0,True,3,2,"Calle Piqueñas, 7",Madrid,Madrid,Carabanchel,es,Buena Vista,40.3677689,-3.7591247,True,https://www.idealista.com/obra-nueva/98970232/,7186,"26 Multi-family homes with 1, 2 and 3 bedrooms Garage space and storage room included in the price From 182,563. 00 euros Ground floors with patio Penthouses with large terraces Excellent location.",True,newdevelopment,True,True,3540.0,True,False,False,False,False,False,True,True,flat,,"Buena Vista, Madrid","Flat in Calle Piqueñas, 7",,False,,
101158659,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/71/16/10/1112378659.jpg,AD - 182,5,5,395000.0,flat,sale,84.0,True,4,2,Calle de Coslada,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4392797,-3.6732856,False,https://www.idealista.com/inmueble/101158659/,3595,"PURCHASE OPPORTUNITY! Directing International Properties sells a magnificent house next to Francisco Silvela Street and the Avenida de América interchange, with spectacular light and wide and clear views, the house faces a huge block, so it is super quiet. Due to its excellent distribution and location of the bathroom downspouts, the house invites a reform with different possibilities of en-suite bedrooms, a spacious living room and an independent or American kitchen incorporated into the living room. Good classic building with renovated portal, elevator and individual heating by natural gas. Opportunity to buy a property in one of the best areas of Madrid to live, or invest for rent. The house is located in the Salamanca district, in the east of Madrid. Walking 15-20 minutes, we can easily reach the shopping area and Corte Inglés de Goya and the Retiro Park. We have easy access to and from the National II highway (towards Barcelona) and one step away from the M-30. Adolfo Suárez Airport is a 15-minute drive away. The Instituto de Empresa is very close to the house, as are Goya, Velázquez and Serrano streets and the Student Residence. Area very well connected by public transport, as it has several nearby bus lines (1, Circular 1 - 2, 43, 12, 26, 143, 21, 146) and several metro lines DIEGO DE LEÓN (L4–L5–L6) and Avenida de América Interchange. It has schools such as Caldeiro, Calasancio and Nuestra Señora de Natividad. In front of the Hospital de la Princesa and very close to El Ruber and San Camilo, San Francisco de Asís, San José, Gregorio Marañón, Beata Ana de Jesús. It also has sports and cultural facilities, leisure areas, Burger King and McDonalds restaurants, food stores such as Día, Aldi, Lidl, Alcampo, Carrefour. Vivienda Directing offers its national and foreign clients a wide portfolio of properties (houses, apartments, penthouses, duplexes, chalets, lofts... ) located in the best and most exclusive residential areas of Madrid (Salamanca, Retiro, Chamartín neighborhoods). , Chamberí, Moncloa, Centro, Arturo Soria etc…). If you want to buy, sell or rent a property in Madrid, Vivienda Directing Real Estate offers a wide range of brokerage services and highly professionalism. Do you want to SELL your house? FREE valuation Exclusive homes in Madrid Find more at.",False,renew,False,True,4702.0,True,False,True,False,False,False,,,flat,,"Guindalera, Madrid",Flat in Calle de Coslada,,,,
101339302,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d7/64/75/1118768236.jpg,LCM23342.MAI,23,2,193000.0,flat,sale,47.0,False,1,1,Calle de Lope de Haro,Madrid,Madrid,Tetuán,es,Berruguete,40.4580868,-3.7030717,False,https://www.idealista.com/inmueble/101339302/,4593,"The Casa Agency Imperial presents a cozy 47m2 house, it is located on Lope de Haro street, in a privileged area near Bravo Murillo. It has a room, a bathroom and a kitchen, all in very good condition. The armored door and climalit windows provide excellent security and acoustic and thermal insulation. The wooden floor and smooth painted walls give a feeling of simplicity and style, it also has air conditioning and natural gas heating. The building has an elevator, which makes access to the house very comfortable and easy. In addition, its excellent location will allow you to access all the services and amenities of the area, such as shops, restaurants and public transport, with great ease.",False,good,False,True,4106.0,False,False,False,False,False,False,,,flat,,"Berruguete, Madrid",Flat in Calle de Lope de Haro,,,,
101213331,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/65/79/5c/1114626093.jpg,MA183135/2,32,4,399000.0,flat,sale,108.0,True,4,1,Plaza SANTA MARIA DE LA CABEZA,Madrid,Madrid,Arganzuela,es,Palos de Moguer,40.4015527,-3.6973895,False,https://www.idealista.com/inmueble/101213331/,1777,"GILMAR ARGANZUELA / PASILLO VERDE, offers you this spectacular property consisting of 4 bedrooms and 1 bathroom. Very bright with 2 terraces. In the heart of Madrid Rio. Located on the fourth floor of a residential building in the heart of Arganzuela, with great light. It is presented as a great opportunity to live in one of the best areas of Madrid. With a built area of 108 m2, it is fantastically distributed in an entrance hall, living room and separate kitchen, 4 bedrooms and 1 full bathroom. The area has a wide range of leisure, gastronomy and shops a few meters from the house. It is very well connected by public transport, Metro Acacias and Metro/Cercanías Pirámides and Legazpi, several bus lines and with an excellent exit to the M-30 and the A-4 and A-42. Within the Arganzuela district of Madrid, its proximity to the center and cultural areas such as the Reina Sofía Museum and the Prado Museum stands out, which make its location a perfect place to enjoy cultural and leisure activities, without sacrificing recreation and recreation areas. such as the Retiro Park and Madrid Rio. Its situation gives it a unique and special attraction. At Gilmar we work to offer our clients the best properties in Madrid, the Costa del Sol and Seville, with specialized teams in each area, to provide them with the best option for their needs. A personalized service, in which we are attentive to detail. In more than 30 years of existence, Gilmar has managed to achieve a privileged space within the high standing Real Estate Sector. We cover all real estate needs: homes, offices, commercial premises, plots, rustic land, land to build... and any type of operations: buying and selling and renting. Our clients have the necessary advice from the beginning, to guarantee their security, legal effectiveness and the best financial-fiscal profitability.",False,renew,False,True,3694.0,True,False,False,False,False,False,,,flat,,"Palos de Moguer, Madrid",Flat in Plaza Santa Maria De La Cabeza,,,,
89919745,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5f/db/c8/786447289.jpg,XV 5644,32,1,875000.0,flat,sale,176.0,False,3,2,Camino VIEJO DEL CURA,Madrid,La Moraleja,Encinar de los Reyes,es,,40.5074795,-3.622886,False,https://www.idealista.com/inmueble/89919745/,12188,"REA Inmobiliaria (916508937) presents this beautiful recently built luxury apartment located in El Encinar de los Reyes within a private urbanization with swimming pool, 24 hour security and playground. The apartment has the following distribution: Entrance hall, living room with exit to a terrace with magnificent views. Kitchen furnished with high-end furniture with a very hard stratified finish, SILESTONE worktop, in gray and top brand appliances, it has an office area and a clothesline with washer and dryer. A guest toilet and three bedrooms with two bathrooms, the master bedroom with en-suite bathroom and both bedrooms have fully fitted wardrobes. All the materials used in the house are of high quality, flooring in walnut wood laminate flooring and in the hall and living room in white CARRARA marble, with black marble trim.The heating and air conditioning is underfloor heating by hot water, which transmits heat through the floor, achieving the highest comfort, the production of heat is achieved by means of a heat pump and geothermal system, which allows obtaining energy ecological and low maintenance cost.The house is equipped with a DINITEL brand home automation system. The urbanization has swimming pools, playground, green areas and gym. It has two parking spaces and a storage room. The Encinar de los Reyes in an area attached to the Soto de la Moraleja built mostly from the 90s, and the houses are usually houses of that time.It is bordering La Moraleja in the south.The area is formed by floors in large gated communities with security and large landscaped areas of more than 10.000 m2 with swimming pools, paddle, etc... all very thought for the little ones.The population is usually young and young children.The floors are newer than in El Soto but the dimensions of their rooms are usually smaller and usually do not usually have a differentiated service area.In addition, there are semi-detached and semi-detached chalets within large urbanizations with 24 hour security and common areas.Finally, this area also has semi-detached houses without a common area for people who want to live in a villa with independence and also some independent villas with gardens of 1000 m2, in some cases overlooking the golf course.The Encinar has a large shopping center where you can find everything, supermarket, pharmacy, optics, restaurants, dry cleaners, stationery, haberdashery... everything that is needed on a daily basis.Communication with the city center is done by buses that run throughout the area and go to Plaza de Castilla or Alcobendas and San Sebastián de los Reyes.There are several schools in Encinar and its proximity to the schools of La Moraleja or Soto is no more than 10 minutes from any point.",True,good,False,True,4972.0,True,False,False,False,False,False,,,flat,,"Encinar de los Reyes, La Moraleja",Flat in Camino Viejo Del Cura,,,,
101244744,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4e/8d/2e/1115611749.jpg,6456,20,bj,270000.0,flat,sale,60.0,True,2,1,Calle de Víctor Andrés Belaunde,Madrid,Madrid,Chamartín,es,Bernabéu-Hispanoamérica,40.45941,-3.6811722,False,https://www.idealista.com/inmueble/101244744/,5112,"Alberto Alcocer-Rep area. Dominican. It is currently an office on the ground floor, exterior and to be reformed, with the possibility of changing its use to HOUSING. Building from 1973 with a representative portal and closed with common areas (swimming pool, garden and playground), elevator and doorman. In cadastre 60 square meters built and 55 useful. In writing 53 m2. Distributed in 3 spaces with high windows, lots of light, facing the street plus toilet. There are two optional parking spaces not included in the price, in the same building. Central heating with individual meter. North orientation. ITE favorable in 2018. Immediate availabilityVery good communications both by bus and metro. Metro Colombia (L8 and L9).",False,renew,False,True,4500.0,True,False,True,False,False,False,True,False,flat,,"Bernabéu-Hispanoamérica, Madrid",Flat in Calle de Víctor Andrés Belaunde,,,33000.0,
