propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,labels,topNewDevelopment,superTopHighlight,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.parkingSpacePrice,newDevelopmentFinished
96888896,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/80/93/4d/959571825.jpg,vo171245,33,4,1950000.0,duplex,sale,238.0,True,3,3,Cortina del Muelle,Málaga,Málaga,Centro,es,Centro Histórico,36.7198057,-4.4199888,False,https://www.idealista.com/inmueble/96888896/,197,"Gilmar Real Estate offers this spectacular one of a kind exclusive duplex penthouse recently renovated, located in a historic building in front of the promenade of the park with unobstructed stunning views to one of the most beautiful parks in Málaga City Center. The property occupies the top two floors of the building, on its main floor there is a spacious and sunny living room facing south, which leads to a fantastic terrace with unbeatable views, the apartment has a fully equipped kitchen with natural stone worktop, top quality appliances and custom-made furniture, a large bathroom, with several fitted wardrobes, a large master bedroom with a large dressing room and a bathroom. On the upper floor there is a small living room, two bedrooms sharing a bathroom with a shower. floors are connected with a spectacular staircase. On the ground floor of the same building, there is a large parking area with easy access which belongs to the property. At Gilmar Real Estate we have been working to offer our clients the best properties for 37 years. We cover all real estate needs, with more than 4.000 homes for sale, second-hand apartments, new construction, villas, beachfront properties, plots, offices and commercial premises. We have more than 30 specialized teams in different areas serving more than 90.000 National and International clients, who have the necessary advice to guarantee their security, legal effectiveness and the best financial-tax profitability. Call us and we will help you find the house of your dreams. The best investment options to make your money profitable.",True,good,False,True,8193.0,True,True,False,False,"[{'name': 'luxuryType', 'text': 'Luxury'}]",False,False,True,True,flat,duplex,"Centro Histórico, Málaga",Duplex in Cortina del Muelle,Top,,
100542666,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e1/29/e8/1091179009.jpg,vo182559,33,1,437000.0,flat,sale,121.0,True,3,2,Calle Pilar Lorengar,Málaga,Málaga,Carretera de Cádiz,es,Finca el Pato - Torre del Río,36.6813758,-4.4530912,False,https://www.idealista.com/inmueble/100542666/,5264,"Gilmar Consulting Real Estate sells this fantastic home located in the area with the most projection and tour of the city, in the District of Cadiz, the Finca del Pato - Parque Litoral neighborhood, a recently built environment with private residences, wide avenues, green areas and a a few meters walking from the Playa de la Misericordia.The neighborhood offers all kinds of shops, schools, pharmacies, it is even the most health-consolidated area, speaking with clinics and hospitals.In the immediate future, it will be considered with the creation of new endowment structures and a possible University.It also offers easy communication with your own vehicle to the main exits of the city, it has a metro that will soon connect with the Historic Center, currently the line reaches the Maria Zambrano train station, as well as different bus lines. The residential in which the house is located is one of the most prestigious in the area and is recognized for its large common areas and pool area, it dates from 2010 and is in a perfect state of conservation and maintenance.The house has 121 square meters, it is distributed in a large independent living room with two very different areas for living and dining, as well as a very pleasant terrace, a large fully furnished kitchen with an office area and which gives access to a magnificent patio for private use. of about 20 square meters, 3 large bedrooms with fitted wardrobes and two complete bathrooms (one of them en suite).It has a garage and storage room with direct access by elevator. The state of conservation is perfect and the house does not need any type of investment to start enjoying it, it has smooth walls, climalit windows, wooden doors, marble floors, etc. If you are looking to live in a healthy, new, open, green area, close to the beach, and close to hospitals, parks and public transport, this is the right place, don't hesitate. At Gilmar Consulting Real Estate we have been working to offer our clients the best properties for 37 years. We cover all real estate needs with more than 4,000 homes for sale, second-hand apartments, new construction, chalets, beachfront, rustic properties, commercial premises, plots... We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Call us and we will help you find the house of your dreams.The best investment options to make your money profitable.",False,good,False,True,3612.0,True,True,False,False,"[{'name': 'bright', 'text': 'Bright'}]",False,False,True,True,flat,,"Finca el Pato - Torre del Río, Málaga",Flat in Calle Pilar Lorengar,Top,,
99992107,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/f4/22/1065442143.jpg,vo177414,33,,725000.0,chalet,sale,250.0,False,4,2,Arroyo de la Miel,Málaga,Benalmádena,Arroyo de la Miel,es,,36.6013837,-4.5283955,False,https://www.idealista.com/inmueble/99992107/,16400,"Gilmar Consulting Inmobiliaria sells this wonderful home located in the town of Benalmadena, Arroyo de la Miel area, in one of the most consolidated and pleasant urbanizations in the area, with few neighbors, a surface area of many square meters for few neighbors with large green areas. , different swimming pools, tennis court, games and recreation areas, without a doubt a small exclusive paradise for those who seek to live in a relaxed way and who have the comfort of being able to walk to areas of commerce and services without having to use The vehicle, in addition to its proximity to the suburban train station, is well communicated and connected to the city of Malaga and the Maria Zambrano Station as well as the Malaga International Airport. The property enjoys the largest plot of the entire urbanization as it is made up of two units for a total of 500 square meters of land (separable), and on which a 250-square-meter detached house has been built in a semi-detached format that It distributes on the main floor the access to the property that has a large independent living room with access to the garden, a large kitchen furnished with an office area, a courtesy toilet as well as a garage area for one vehicle; On the upper floor we have the bedrooms, there are 3 very large ones, with built-in wardrobes and terraces, as well as two complete bathrooms (one of them en suite); It has a roof terrace with incredible views of the sea with a floor area, as well as a beautiful fully conditioned cellar with natural ventilation that even has a full bathroom that serves as a leisure area or guest room. The state of conservation of the property is quite healthy and does not require any type of investment to be able to be inhabited. At Gilmar Consulting Real Estate we have been working to offer our clients the best properties for 37 years. We cover all real estate needs with more than 4,000 homes for sale, second-hand apartments, new construction, chalets, beachfront, rustic properties, commercial premises, plots.. . We have more than 30 specialized teams in different areas at the service of more than 90,000 national and international clients, who have the necessary advice to guarantee their security, legal effectiveness and the best financial-fiscal profitability. Call us and we will help you find the house of your dreams. The best investment options to make your money profitable.",False,good,False,,2900.0,False,True,False,False,"[{'name': 'villaType', 'text': 'Villa'}]",False,False,True,True,chalet,independantHouse,"Arroyo de la Miel, Benalmádena",Detached house,Top,,
98630161,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/33/f8/11/1018588657.jpg,trv-461-chv,36,,835000.0,chalet,sale,310.0,False,4,2,"Camino del Colmenar, 150",Málaga,Málaga,Centro,es,Olletas - Sierra Blanquilla,36.741856,-4.4117787,True,https://www.idealista.com/inmueble/98630161/,2441,"TRAVERSO offers an independent villa for sale with a lot of personality and with a design between Mediterranean and Oriental. The house is located on a 1,450-meter plot that enjoys all possible views from any point of the house, mountains and sea, light is guaranteed. Very well connected with the Mediterranean highway and just ten minutes from the city center. The plot is accessed through the garage entrance which is covered in the open air. To the house through the old wooden gate recovered from where you can access a large Andalusian patio of fifty square meters. From this you can directly access both the kitchen and the living room with fireplace, three bedrooms with fitted wardrobes, two bathrooms and a large kitchen with access to the other side of the house. In the lower part we have another independent bedroom that can be used for visits or service. The materials are of an extraordinary quality, ceramic tiles, Jaén earthenware floors, old recovered red pine doors, window bars and large windows made to measure and without rivets, etc. In another independent area of the house we find a large room with natural ventilation that is used as a wine cellar and for leisure. A great opportunity to acquire a property with a lot of charm. Visit it without obligation!",False,good,False,,2694.0,True,False,True,False,"[{'name': 'villaType', 'text': 'Villa'}, {'name': 'luxuryType', 'text': 'Luxury'}]",False,False,True,True,chalet,independantHouse,"Olletas - Sierra Blanquilla, Málaga","Detached house in Camino del Colmenar, 150",Top,,
97702649,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/ee/2a/987613065.jpg,CM-14,27,,625000.0,chalet,sale,298.0,False,4,3,"Avenida María de Orueta, 25",Málaga,Málaga,Churriana,es,Cortijo de Maza-Finca Monsalvez-El Olivar,36.6523064,-4.4911891,True,https://www.idealista.com/inmueble/97702649/,9882,"Villa of 300 m2 with a plot of 991 m2, 4 bedrooms, 2 full bathrooms, toilet, living-dining room with fireplace, marble floor, terrace, garage for 3 cars, patio, storage room and its own gardens. Request a visit and one of our advisers will accompany and guide you free of charge throughout the purchase process. In addition, if you need to finance the purchase of this property, we have an agile and experienced mortgage advice department to offer you the best market financing. We inform you that our agency fees are already included in the sale price, for which you do not have to pay any type of expense for management or real estate advice. And that in compliance with the Decree of the Junta de Andalucía 218/2005 of October 11, it is reported that notary fees, registration, ITP and other expenses inherent to the sale are not included in the price.",True,good,False,,2097.0,True,False,True,False,,False,False,True,True,chalet,independantHouse,"Cortijo de Maza-Finca Monsalvez-El Olivar, Málaga","Detached house in Avenida María de Orueta, 25",Top,,
100832875,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a3/9e/9b/1100410540.jpg,CL-419,35,bj,420000.0,flat,sale,160.0,True,3,2,"Avenida DEL CARMELO, 1",Málaga,Torremolinos,Montemar,es,,36.6111235,-4.5088847,True,https://www.idealista.com/inmueble/100832875/,14527,"Spectacular 160 m2 ground floor, 3 bedrooms, the main one en suite, 2 bathrooms, fully equipped independent kitchen, living room with access to one of the 2 30 m2 terraces. with sea views, 60 m2 basement with brand new sauna and living room with television, 2 garages, 20 m2 storage room. Enclosed area with green areas and community pool. Request a visit and one of our advisors will accompany and guide you free of charge throughout the purchase process. In addition, if you need to finance the purchase of this property, we have an agile and experienced mortgage advice department to offer you the best mortgage advice in a close and free way. market financing. We inform you that our agency fees are already included in the sale price, for which you should not pay any type of expense for management or real estate advice. And that in compliance with the Decree of the Junta de Andalucía 218/2005 of October 11, it is reported that the notary, registration, ITP and other expenses inherent to the sale are not included in the price.",True,good,False,True,2625.0,True,False,True,False,,False,False,True,True,flat,,"Montemar, Torremolinos","Flat in Avenida Del Carmelo, 1",Top,,
99458449,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/dc/28/70/1044626236.jpg,C-603,17,1,126000.0,flat,sale,54.0,True,1,1,"Avenida Joan Miró, 5",Málaga,Torremolinos,Centro,es,Loma de los Riscos,36.621587,-4.5008334,True,https://www.idealista.com/inmueble/99458449/,13159,"Apartment with 1 bedroom, bathroom, living room, kitchenette, sauna, terrace, furnished. 54 m2, downtown area. Request a visit and one of our advisers will accompany and guide you free of charge throughout the purchase process. In addition, if you need to finance the purchase of this property, we have an agile and experienced mortgage advice department to offer you the best market financing. We inform you that our agency fees are already included in the sale price, for which you do not have to pay any type of expense for management or real estate advice. And that in compliance with the Decree of the Junta de Andalucía 218/2005 of October 11, it is reported that notary fees, registration, ITP and other expenses inherent to the sale are not included in the price.",True,good,False,True,2333.0,True,False,True,False,"[{'name': 'apartamentoType', 'text': 'Apartment'}]",False,False,,,flat,,"Loma de los Riscos, Torremolinos","Flat in Avenida Joan Miró, 5",Top,,
101172405,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/d2/5b/1113174413.jpg,106,21,5,207500.0,flat,sale,68.0,True,1,1,"Avenida Manuel Mena Palma, 7",Málaga,Benalmádena,Torrequebrada,es,Cortijo Torrequebrada,36.5881369,-4.5339593,True,https://www.idealista.com/inmueble/101172405/,17892,"Very well located apartment, 200 meters from the beach and Las Palmeras avenue, renovated, very spacious, with one bedroom, before the reform it originally had two bedrooms. Large furnished and equipped kitchen, huge bedroom, bathroom with shower, bright, terrace, unobstructed views of the sea. Furnished The community has swimming pools and gardens, paddle tennis court. Both hot and cold water is included in the community fee. There is usually parking available on the street. There is a municipal plot a few meters away. It has a tourist apartment license. The real estate fees are included in the sale price. ITP, notary and registry expenses, in charge of the buying party.",False,good,False,True,3051.0,False,False,False,False,,False,False,,,flat,,"Cortijo Torrequebrada, Benalmádena","Flat in Avenida Manuel Mena Palma, 7",Top,,
100873451,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a5/65/f4/1101785448.jpg,EE- 3.1,18,3,199995.0,flat,sale,81.0,True,2,2,Calle Valdepeñas,Málaga,Benalmádena,Arroyo de la Miel,es,,36.6042333,-4.536925,False,https://www.idealista.com/inmueble/100873451/,16605,"Magnificent 2-bedroom apartment in a gated community with infinity pool and rooftop solarium. 6-storey building where you can choose between 2 and 3-bedroom homes, from ground floors with gardens to penthouses with large terraces and private solariums. New home on the Costa Del Sol, in Arroyo de la Miel, Benalmádena, an urban and quiet area with all services. One step away you will have schools, institutes, a pharmacy, supermarkets.. . 900m from the Cercanías Train station, and with easy access to the Autovía del Mediterráneo, just 10 minutes from the airport. The EXCELLENCE BUILDING stands out for its beautiful community pool with views of the sea and the mountains in the solarium, where we will also find showers and changing rooms. Given its location, you will be able to enjoy the sun all day and all year round. Solarium and community pool with great views of the sea on the 6th floor. All the houses are exterior, spacious and bright, as well as wonderful terraces. Your vehicle will be protected, thanks to the garage in the basement, from which you will have easy access to your home. Ventilated façade made up of ceramic plates, which stands out for its high quality, durable finishes, high aesthetic possibilities and indisputable advantages of thermal and acoustic insulation. Aerothermal system that works with a state-of-the-art heat pump designed to provide cooling in summer, heating in winter and hot water all year round. American kitchen fully furnished with a modern design and LED lighting under the wall units and equipped with all energy-efficient appliances according to current times. Modern design and LED lighting in the master bedroom and living room, indirect lighting footlights are placed in ceiling recesses by means of led strips equipped with intensity regulator in both rooms. Aluminum carpentry with thermal bridge and double glazing type ""Climalit"". In the hall, living room, distributor and bedrooms: laminated floating flooring Very comfortable, open, spacious and bright spaces Work permit granted and delivery scheduled for mid-2024 VERIFIED QUALITY: ALL HOMES ARE SUBJECT TO STRICT SUPERVISION BEFORE THEY ARE DELIVERED. Do not hesitate to contact us for more information. TU INVERSIÓN INMOBILIARIA.",False,good,False,True,2469.0,True,False,False,False,,False,False,,,flat,,"Arroyo de la Miel, Benalmádena",Flat in Calle Valdepeñas,Top,,
99018041,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bc/cc/dc/1079597521.jpg,119,24,10,209000.0,flat,sale,56.0,True,1,1,Calle los Girasoles,Málaga,Benalmádena,Torrequebrada,es,Cortijo Torrequebrada,36.5868605,-4.5372738,False,https://www.idealista.com/inmueble/99018041/,18177,"ONE MINUTE FROM THE BEACH! LUXURY BUILDING, FULLY FURNISHED APARTAHOTEL TYPE WITH BEAUTIFUL SEA VIEWS!  Fully furnished 1-bedroom apartment, equipped kitchen, living room with access to a terrace with beautiful sea views, air conditioning, large bedroom with built-in wardrobe and 1 bathroom. Southeast orientation, very sunny. Parking space and storage included in the price.  It has 24 HOURS RECEPTION, maintenance service, community pool, green areas. Located very close to the beach, supermarkets, shops, bars and bus and taxi stops.  Ideal as an investment, vacation or to reside for long periods.",True,good,False,True,3732.0,True,False,False,False,"[{'name': 'apartamentoType', 'text': 'Apartment'}]",False,False,True,True,flat,,"Cortijo Torrequebrada, Benalmádena",Flat in Calle los Girasoles,Top,,
