propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,superTopHighlight,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,labels,detailedType.subTypology,parkingSpace.parkingSpacePrice,newDevelopmentFinished
99998331,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/10/2f/66/1066226488.jpg,VV2212049,29,5,290000.0,flat,sale,85.0,True,2,2,Av. del Mestre Rodrigo,València,València,Campanar,es,Sant Pau,39.48721,-0.405534,False,https://www.idealista.com/inmueble/99998331/,3162,"Flat for sale with views in Nou Campanar (Valencia) 85 sqm flat with views in Nou Campanar, Valencia. The property has 2 bedrooms, 2 bathrooms, swimming pool, gymnasium, 1 parking space, air conditioning, fitted wardrobes, laundry room, balcony, garden, heating, concierge and storage room.",True,good,False,True,3412.0,True,False,True,False,False,False,True,True,flat,"Sant Pau, València",Flat in Av. del Mestre Rodrigo,,,,
98736588,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/db/2b/1050929699.jpg,VV2209008,30,1,659000.0,flat,sale,224.0,True,4,2,Calle del Músic Albéniz,València,València,El Pla del Real,es,Jaume Roig,39.485608,-0.3644752,False,https://www.idealista.com/inmueble/98736588/,2019,"Flat for sale in Jaume Roig (Valencia) 224 sqm flat in Jaume Roig, Valencia. The property has 4 bedrooms, 2 bathrooms, 1 parking space, air conditioning, fitted wardrobes, laundry room, heating, concierge and storage room.",True,good,False,True,2942.0,True,False,True,True,False,False,True,True,flat,"Jaume Roig, València",Flat in Calle del Músic Albéniz,,,,
98723157,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/46/a9/df/1021672154.jpg,VV2209007,40,10,1550000.0,penthouse,sale,345.0,True,4,4,Paseo de l'Albereda,València,València,Camins al Grau,es,Penya-Roja,39.4539396,-0.3404899,False,https://www.idealista.com/inmueble/98723157/,3548,"Spectacular luxury duplex penthouse for sale Spectacular duplex penthouse of custom design with the best qualities of luxury and comfort. It is located in one of the best areas of Valencia, in the City of Arts and Sciences. This beautiful penthouse is located on the tenth floor of the building. The house has two floors. On the main floor we find ourselves entering a large Hall with access to the rest area, it has a spacious master bedroom with en suite bathroom with large dressing room and a bright gym where you can enjoy the best relaxing moments in Sauna, Steam bath and jacuzzi, then two bedrooms with shared bathroom en suite and one of them with dressing room. Also a separate service area with a small kitchen and a bedroom suite, with the laundry room. The second part of the house has a large living room with home-cinema and dining area, the kitchen is fully equipped with access to the terrace of 80 square meters, where you can enjoy spectacular views, including the Oceanographic, the port and Cullera. It consists of a pool, Chill out area and spa. The property has excellent finishes and high quality design materials. It has security system, audio, video and home automation throughout the house. The house is also accessed through the two floors, it also has two parking spaces included in the price. The area has all the services, a step away from the City of Science, Old Riverbed of Turia River, with great commercial and leisure activity. It has supermarkets, schools, shopping center, health center and all necessary services to enjoy a life of great quality.",True,good,False,True,4493.0,True,False,True,False,False,False,True,True,flat,"Penya-Roja, València",Penthouse in Paseo de l'Albereda,"[{'name': 'luxuryType', 'text': 'Luxury'}]",penthouse,,
100729330,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/36/a3/44/1097083807.jpg,V5198,42,8,699000.0,flat,sale,258.0,True,5,4,San Vicente Martir,València,València,Extramurs,es,Arrancapins,39.4599656,-0.3837983,False,https://www.idealista.com/inmueble/100729330/,1279,"Monserrate presents this impressive design home that has more than 250 m², where light and wide spaces are the protagonist. Upon entering the house, we are greeted by a spacious entrance hall that leads to the magnificent living room that has a fireplace, access to the terrace and entertainment area with a pool table and home cinema. The kitchen is fully equipped and has a very comfortable distribution, since, within the same room, but with different spaces, we find the ironing area and the gallery. The day area is completed with a large office and a complete bathroom that, in addition to serving some rooms, is used as a courtesy toilet. In the night area, we find the fantastic and comfortable master suite with a dressing room, reading area and bathroom, in addition, 3 double bedrooms with large wardrobes; two of them also with bathroom en suite and one with access to the terrace, and a fourth single bedroom. We emphasize that two parking spaces are included in the price and that the house has both heating by gas radiators and air conditioning. Arrancapins is a central and well-established neighborhood, in its vicinity we find the Joaquin Sorolla AVE station and the Plaza de España.In addition, it has small shops, supermarkets, a medical center, pharmacies, banks and a good connection with public transport to any point in the city and its surroundings.",True,good,False,True,2709.0,True,False,True,False,False,False,True,True,flat,"Arrancapins, València",Flat in San Vicente Martir,,,,
98276653,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d0/14/f3/1006372450.jpg,VV2212018,28,,659000.0,chalet,sale,260.0,False,4,2,subdistrict El Cabanyal-El Canyamelar,València,València,Poblats Marítims,es,El Cabanyal-El Canyamelar,39.4713697,-0.3253175,False,https://www.idealista.com/inmueble/98276653/,4377,"House for sale with Terrace in El Cabañal - El Grau (Valencia) 260 sqm refurbished house with Terrace and views in El Cabañal - El Grau, Valencia. The property has 4 bedrooms, 2 bathrooms, air conditioning and laundry room.",True,good,False,,2535.0,True,False,True,False,False,False,,,chalet,"El Cabanyal-El Canyamelar, València",House,,,,
98326537,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/85/65/76/1061095589.jpg,V5173,24,2,426000.0,flat,sale,85.0,True,2,2,Calle Guillem de Castro,València,València,Extramurs,es,La Roqueta,39.4671213,-0.3825437,False,https://www.idealista.com/inmueble/98326537/,619,"Monserrrate Premium Home Agents presents this exclusive property in a central area, located in a historic modernist building of the S.XX, in front of the MUVIM Museum and the Gardens of Calle del Hospital de Valencia. The house has been reformed respecting its own ornamental elements; white marble pavements with dark green fretwork forming a tapestry, high ceilings and ancient carvings, giving it the elegance that this type of building represents.In addition, it has cross ventilation and sunny orientation throughout the year. At its entrance we are greeted by a multidisciplinary room, which houses the Nordic-style dining room, a fabulous and discreet closet with large storage, and the carefully decorated open kitchen, which has all the integrated appliances.This room acts as a distributor, for maximum use of the surface. To the left of this, we find a beautiful and bright living room that has two large wooden doors with double glass that give access to the balcony, where you can enjoy panoramic views of the city, Hospital Gardens, Estación del North and Plaza de Toros.The location, next to the Historic Center of Valencia, is unique. To the right of the room are the two bedrooms and the second bathroom; with shower, sink and toilet with shower hose, which can also be the courtesy toilet. The master bedroom with bathroom en suite has an original distribution; It has a washbasin island with vanity and bathroom furniture interchangeably, as well as a modern double-sided illuminated mirror.These elements comfortably separate both spaces (bedroom and bathroom) within the same room. At the back of the room, on the left side is the glass cabin with the toilet area and on the right side is the large shower, also in a glass cabin and which has an exterior window. This beautiful and comfortable property is equipped with ducted air conditioning, in addition to having its natural air current.The living room has an adjoining wall to an isolated neighbor to prevent any disturbance.The house has a 7m² storage room with a window to the block patio, located on the top floor of the building. Living there or having a home with these characteristics as a profitable investment will be a success. If you are looking for exclusivity, we will be happy to show it to you.",True,good,False,True,5012.0,True,False,True,False,False,False,,,flat,"La Roqueta, València",Flat in Calle Guillem de Castro,,,,
100438922,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/cb/d6/65/1086328499.jpg,VV2302037,40,3,145000.0,flat,sale,60.0,True,2,1,Calle de Julio Antonio,València,València,Extramurs,es,La Roqueta,39.4667171,-0.3787961,False,https://www.idealista.com/inmueble/100438922/,414,"Flat for sale with views in La Roqueta (Valencia) 60 sqm furnished flat with views in La Roqueta, Valencia. The property has 2 bedrooms, 1 bathroom, air conditioning, fitted wardrobes, balcony and heating.",True,good,False,False,2417.0,True,False,False,False,False,False,,,flat,"La Roqueta, València",Flat in Calle de Julio Antonio,,,,
99087910,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/68/99/9f/1099734621.jpg,VV2203040,28,3,220000.0,flat,sale,146.0,True,4,2,Calle d'Albacete,València,València,Extramurs,es,Arrancapins,39.46205,-0.38286,False,https://www.idealista.com/inmueble/99087910/,1039,"Flat for sale in Arrancapins (Valencia) Property for refurbishment for sale of 133 m2, ideal for those who wish to acquire a spacious and bright property with the possibility of a garage, not included in the price, in one of the most sought after areas of Valencia, next to the Plaza de España and the Finca Roja. The property consists of a large living-dining room with a balcony, a separate kitchen, four bedrooms, a bathroom and a guest toilet. It enjoys a spacious living-dining room presided over by floor-to-ceiling windows, which make the room very bright throughout the day. The property is perfect for a personalised integral reform and to achieve a unique and exclusive property. It is in a street without traffic, which guarantees a great tranquility and absence of noise pollution. The area is ideal for living with all the comforts, services and an unbeatable communication with all areas of Valencia and towns. Do not hesitate to contact us, we will be delighted to provide you with more information and arrange a visit.",False,renew,False,True,1507.0,True,False,False,True,False,False,True,False,flat,"Arrancapins, València",Flat in Calle d'Albacete,,,29000.0,
100214292,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/53/94/d7/1104937145.jpg,VV2301059,42,8,800000.0,flat,sale,240.0,True,5,3,Calle del Poeta Querol,València,València,Ciutat Vella,es,Sant Francesc,39.4731571,-0.3721794,False,https://www.idealista.com/inmueble/100214292/,505,"Flat for sale with views in San Francesc (Valencia) 236 sqm flat with views in San Francesc, Valencia. The property has 5 bedrooms, 2 bathrooms, air conditioning, fitted wardrobes, laundry room, balcony, heating and concierge.",True,good,False,True,3333.0,True,False,False,False,False,False,,,flat,"Sant Francesc, València",Flat in Calle del Poeta Querol,,,,
98276709,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/63/45/b6/1006373896.jpg,VV2205034-1,33,7,625000.0,penthouse,sale,105.0,True,2,2,Plaza de l'Ajuntament,València,València,Ciutat Vella,es,Sant Francesc,39.4700203,-0.3753582,False,https://www.idealista.com/inmueble/98276709/,80,"Penthouse for sale with Terrace in San Francesc (Valencia) 105 sqm refurbished penthouse with a 30sqm Terrace and views in San Francesc, Valencia. The property has 2 bedrooms, 2 bathrooms, fireplace, air conditioning, fitted wardrobes, heating, concierge and storage room.",True,good,False,True,5952.0,True,False,False,False,False,False,,,flat,"Sant Francesc, València",Penthouse in Plaza de l'Ajuntament,,penthouse,,
