propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,superTopHighlight,topNewDevelopment,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,labels,parkingSpace.parkingSpacePrice,newDevelopmentFinished
100848307,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a9/5c/36/1100919220.jpg,FRATIC,21,10,215000.0,penthouse,sale,77.0,True,2,1,Calle del Río Huerva,Zaragoza,Zaragoza,Ruiseñores,es,Ruiseñores,41.6371539,-0.8922122,False,https://www.idealista.com/inmueble/100848307/,1323,"On Calle Manuel Lasala in the neighborhood next to Parque Grande Miguel Labordeta. The House is a semi-attic with a terrace on the ground floor of 30 square meters, on the tenth floor. It has a garage space and large storage rooms in the same building. House of 63 useful square meters, distributed in a hall with a built-in wardrobe, two bedrooms, a living room, a kitchen and a bathroom, with a terrace and direct exits from the living room (the terrace has a pergola). The main bedroom is spacious and has a closet. Bathroom with window. Elevator at ground level. Totally Outside. Individual heating and hot water, it has a Split type air conditioning unit in the living room. Community fees are not high. The house is close to the Center, 20 minutes from Plaza Aragón and next to the main avenues of the city, with very good communications, in turn, it is next to the main exits of the city, surrounded by green areas, Views of the park, Bus Stops, Tram, Ambulatory, Hospitals, Clinics, Supermarkets, Shopping Center, Schools and Institutes. The house has a security entrance door, the work is from 1973, wooden floors, bathroom with window. The kitchen with all the comforts has electrical appliances and a magnificent use, special emphasis on the magnificent terrace on the ground floor, with direct access from the kitchen and the living room. Very comfortable, sunny and really quiet house, with a spectacular terrace, with good views, in a good community surrounded by green areas. Garage space and storage rooms, included in the price. The floor of the house is parquet and is well preserved. The windows on the floor have been changed and are with climalit glass. The heating is individual. On the terrace there is a storage room of about 7 square meters. If you need financing, you can contact us, we will help you and put you in contact with the main financial entities. Financing subject to solvency criteria of future buyers.",True,good,False,True,2792.0,True,False,False,False,False,False,True,True,flat,penthouse,"Ruiseñores, Zaragoza",Penthouse in Calle del Río Huerva,Premium,,,
97919261,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/4a/6d/1002914261.jpg,,18,2,129000.0,flat,sale,74.0,True,2,1,San roque,Zaragoza,Zaragoza,Delicias,es,Mercado San Valero,41.6508397,-0.9033414,False,https://www.idealista.com/inmueble/97919261/,1205,"HOUSING COMPLETELY REFURBISHED IN DETAIL, NEXT TO AVENIDA DE MADRID WITH ALL THE SERVICES AT YOUR REACH 74 m2 useful, very well distributed, originally there were three bedrooms, leaving two bedrooms, the main bedroom with a free-standing bathtub and individual pre-installation for a fireplace with approval and independent draft for this house, the rest of the house was dedicated to make a large living room with integrated kitchen, has a bar. The floor is high quality porcelain stoneware imitating wood and flooring in the bedrooms. The windows are made of PVC with 6 chambers and Gas insulation. Pre-installation of independent air conditioning for rooms. Individual gas heating with 90 elements. Bathroom with shower. Built-in wardrobes with interior LED lighting. Armored entrance door, parquet floors, white lacquered aluminum windows, tilt-and-turn, lacquered doors. Individual heating, pre-installation of air conditioning. Exterior. Very bright, second floor without elevator. East orientation. Its location is central and with good communication, in an area with all kinds of services such as a health center in urbanization, supermarkets, banks, pharmacies, shops, schools, etc.",True,good,False,False,1743.0,False,False,False,False,False,False,,,flat,,"Mercado San Valero, Zaragoza",Flat in San roque,Premium,,,
100955275,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/84/3a/7a/1105087981.jpg,HORN,50,1,280000.0,flat,sale,106.0,True,4,2,Calle del Doctor Horno Alcorta,Zaragoza,Zaragoza,Centro,es,Doctor Cerrada,41.6491403,-0.8908498,False,https://www.idealista.com/inmueble/100955275/,150,"PROPISO OFFERS IN EXCLUSIVE SPECTACULAR HOUSING WITH GARAGE AND STORAGE ROOM IN FINCA (IN THE NEXT DAYS THE 3D VIRTUAL TOUR WILL BE ADDED TO THE PUBLICATION) Apartment of 95 useful square meters distributed in a large 20m2 living room with split air conditioning and access to a balcony facing the street; 4 bedrooms, one of them with bathroom en suite; 7m2 kitchen with access to one of the terraces and main bathroom. In addition to a huge terrace of almost 50m2 that will delight many. House in excellent condition with oak doors and climalit windows. Modern building that has an elevator at ground level, video intercom and surveillance camera, as well as a garage and storage room. Due to its privileged location a few meters from Puerta del Carmen, Paseo Independencia and the Plaza San Francisco University Campus, it has easy access to all kinds of services, hospitals, schools, shops, hotels, transport and leisure. Ideal for families who value the multiple advantages of living in one of the most emblematic areas of Zaragoza, or for investors who want a safe return on their capital. DO NOT MISS THE OPPORTUNITY TO COME AND VISIT IT!",True,good,False,True,2642.0,True,True,False,False,False,False,True,True,flat,,"Doctor Cerrada, Zaragoza",Flat in Calle del Doctor Horno Alcorta,Featured,,,
101099226,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c6/2b/35/1110015702.jpg,MARINA ESPAÑOLA 197,39,6,197000.0,flat,sale,118.0,True,3,2,Calle de la Marina Española,Zaragoza,Zaragoza,Ruiseñores,es,Ruiseñores,41.6385211,-0.8930387,False,https://www.idealista.com/inmueble/101099226/,1191,"From PROPISO we are committed to your new home! On this occasion we offer you a house to move into, located in one of the most peaceful areas of Zaragoza. Starting from its 103 useful square meters, the property is distributed in 3 bedrooms, an outdoor living room of 27 meters with access to a terrace of 11 square meters and with glass and aluminum enclosure, 2 fully equipped bathrooms, and a kitchen with access to a gallery. The house is in a good state of conservation, with which it could be moved into without making significant updates. As distinctive elements we can highlight its luminosity, thanks to its orientation; its excellent distribution with optimal use of square meters; and its geolocation, right next to the emblematic Parque Grande and with all kinds of services distributed in the surroundings. The farm has FOUR elevators at ground level and porter service throughout the year. Ideal for people who seek to have all the privileges of living in one of the reference areas of the city, or for those who consider making their capital profitable in a safe and systematic way. DO NOT MISS THE OPPORTUNITY TO COME AND VISIT IT! **** This announcement is not binding and is subject to the contractual ties derived from the agreement of wills between buyer and seller. **** SPECIALIZED AGENCY IN THE CENTER-UNIVERSITY-NIGHTINGALE AREA WITH MORE THAN 10 YEARS OF EXPERIENCE.",True,good,False,True,1669.0,True,True,False,False,False,False,,,flat,,"Ruiseñores, Zaragoza",Flat in Calle de la Marina Española,Featured,,,
99353255,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/f0/2c/1042727821.jpg,504932,26,,253000.0,chalet,sale,220.0,False,3,2,Calle del Sauce,Zaragoza,Zaragoza,Avda Cataluña-Santa Isabel-Movera,es,Santa Isabel,41.6681596,-0.8335999,False,https://www.idealista.com/inmueble/99353255/,5086,"Semi-detached house, for sale, located in Santa Isabel, close to educational centers and commercial establishments, being surrounded by all kinds of services. It has a distribution on 4 floors. In the first there is a living room, a large fitted kitchen with dining space and access to the terrace, and a toilet on the same floor. On the two upper floors are the 4 bedrooms and a study, and two bathrooms, one with a shower and the other with a bathtub. In the basement are the garage and the cellar. No commission for the buyer.",False,good,False,,1150.0,True,True,False,False,False,False,,,chalet,,"Santa Isabel, Zaragoza",House in Calle del Sauce,,,,
98896082,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2e/43/79/1026900932.jpg,PAMP259,46,1,259000.0,flat,sale,151.0,True,5,2,Paseo Pamplona,Zaragoza,Zaragoza,Centro,es,Doctor Cerrada,41.6498815,-0.8893304,False,https://www.idealista.com/inmueble/98896082/,119,"From PROPISO we are committed to your new home! WE OFFER EXCLUSIVELY spectacular exterior housing in PASEO PALMPLONA, in the heart of Zaragoza! Floor of 131 useful square meters distributed in 5 bedrooms, exterior living room with two windows; 2 fully equipped bathrooms; and kitchen. First floor, it has individual gas heating, an elevator at ground level and a storage room of 4 square meters. As distinctive elements we can highlight its luminosity, thanks to its orientation; its excellent distribution offering great possibilities for reform; and its privileged geolocation in the heart of Zaragoza and with immediate access to all kinds of leisure, restaurant, transport and health services. Ideal for people looking to have all the privileges of living in a central and well-connected area, or for those who are considering making their capital profitable safely. DON'T MISS THE OPPORTUNITY TO COME VISIT IT! ****This advertisement is not binding and is subject to the contractual ties derived from the agreement of wills between buyer and seller. **** SPECIALIZED AGENCY IN THE DOWNTOWN-UNIVERSITY-NIGHTINGERS AREA WITH MORE THAN 7 YEARS OF EXPERIENCE.",True,good,False,True,1715.0,True,True,False,False,False,False,,,flat,,"Doctor Cerrada, Zaragoza",Flat in Paseo Pamplona,Featured,,,
99121174,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/45/ef/45/1034232200.jpg,PR168,46,4,168000.0,flat,sale,82.0,True,3,1,Urbanización Parque Roma,Zaragoza,Zaragoza,Delicias,es,Ciudad Jardín - Parque Roma,41.6526442,-0.896897,False,https://www.idealista.com/inmueble/99121174/,775,"From PROPISO we are committed to your new home! We exclusively offer a wonderful fourth exterior floor of 76 useful square meters, with garage and storage room in Parque Roma Urbanization. Regarding the distribution, the apartment has 3 double bedrooms, living room, kitchen, bathroom and a large covered terrace completely outside Parque Roma with magnificent views, as well as a 12 m2 garage space in the same building and a 6-sqm storage room. m2. Possibility of taking out a second bathroom and leaving the house to your liking. As distinctive elements we can highlight its luminosity, thanks to its height and orientation, excellent distribution making the most of the rooms, its community expenses of €120/month, including central heating and hot water with individual meter, stately home with doorman, as well as such as its location in the heart of the city, very close to the University Campus and the Clinical Hospital. Ideal for people looking to have all the privileges of living in a central and well-connected area, or for those who want to make the most of their capital through security. DON'T MISS THE OPPORTUNITY TO COME VISIT IT! ****This advertisement is not binding and is subject to the contractual ties derived from the agreement of wills between buyer and seller. **** SPECIALIZED AGENCY IN THE CENTER-UNIVERSITY-NIGHTINGERS-GARDEN CITY AREA WITH MORE THAN 9 YEARS OF EXPERIENCE.",True,renew,False,True,2049.0,True,True,False,False,False,False,True,True,flat,,"Ciudad Jardín - Parque Roma, Zaragoza",Flat in Urbanización Parque Roma,,,,
100869947,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/75/45/50/1101673191.jpg,CIUJAR265,45,,265000.0,chalet,sale,202.0,False,4,2,Calle de Pedro López de Luna,Zaragoza,Zaragoza,Delicias,es,Ciudad Jardín - Parque Roma,41.6469844,-0.9018638,False,https://www.idealista.com/inmueble/100869947/,1081,"HOUSE IN THE HEART OF THE CITY, IN CIUDAD JARDIN House of 188 useful square meters distributed over 2 floors, plot with original garden, but when it is used as a company it is partitioned and can be left uncovered again. It has 2 fully equipped bathrooms. Totally exterior, very bright. Magnificent distribution, offering ample possibilities to reform to your liking and leaving you the house of your dreams in the heart of the city. yes Due to its privileged geolocation a few meters from the Clinical Hospital, Paseo Fernando el Católico and the university campus, it has easy access to all kinds of services, hospitals, schools, shops, hotels, and transport. Surrounded by green and quiet areas, an ideal environment for living in the city. Ideal for families who value the multiple advantages of living in one of the most emblematic areas of Zaragoza, or for investors who want a high return on their capital safely. DO NOT MISS THE OPPORTUNITY TO COME AND VISIT IT! **** This announcement is not binding and is subject to the contractual ties derived from the agreement of wills between buyer and seller. **** SPECIALIZED AGENCY IN THE CENTER-UNIVERSITY-NIGHTINGALE AREA WITH MORE THAN 10 YEARS OF EXPERIENCE.",True,renew,False,,1312.0,True,True,False,False,False,False,,,chalet,semidetachedHouse,"Ciudad Jardín - Parque Roma, Zaragoza",Semi-detached house in Calle de Pedro López de Luna,Featured,,,
100780368,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/5a/54/a7/1100164817.jpg,f101,59,,450000.0,chalet,sale,262.0,False,4,2,Calle de Jorge Cocci,Zaragoza,Zaragoza,Las Fuentes,es,Las Fuentes,41.646176,-0.8671892,False,https://www.idealista.com/inmueble/100780368/,1842,"Buyer customer exempt from additional fees. Spectacular villa for sale. 262 M2 house distributed over 4 floors. It has 3 bedrooms, living room, cellar with integrated kitchen, attic, 2 bathrooms and a toilet. 2 large garage spaces, with capacity for 4 cars. •The attic, with a tilt-and-turn window, is covered in solid pine, enjoys a dressing room and access to the terrace. •On the 1st floor, there is the living room, a bathroom and the kitchen with access to a gallery. •On the 2nd floor, we find the 3 bedrooms, a bathroom. In addition, the master bedroom with a suite-type bathroom and overlooking the same avenue of Jorge Cocci. •Semi-basement cellar with fully equipped kitchen, formidable solid oak table and chairs and spectacular stained glass window of the Basilica del Pilar on the ceiling. In addition, we find a living area with a fireplace and a small pantry room. Storage room for storage and with the possibility of parking 2 small cars; In addition to a covered parking area for 2 large cars. It has individual gas heating and air conditioning on the 4 individually controlled floors. The house includes 4 built-in wardrobes. The materials and wood used are of high quality. The chalet is fully furnished, ready to move into. Easy access, the villa next to Camino de Las Torres and Av/ Compromiso de Caspe, centrally located and a few minutes from the heart of the city. With the bus stop next door, adjacent shops. Area that enjoys beautiful green areas and tranquility. Available to enter tomorrow. We find the financing you need.",True,good,False,,1718.0,True,True,False,False,False,False,True,True,chalet,terracedHouse,"Las Fuentes, Zaragoza",Terraced house in Calle de Jorge Cocci,,,,
100746117,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/c7/49/1097614916.jpg,505140,22,,175000.0,flat,sale,80.0,False,3,2,Calle de Miguel Servet,Zaragoza,Zaragoza,Casco Historico,es,La Magdalena,41.6501973,-0.8758413,False,https://www.idealista.com/inmueble/100746117/,1110,"For sale, apartment to reform located on Calle Miguel Servet, next to Camino Las Torres and less than 5 minutes from Plaza San Miguel. With good communications and close to natural spaces. Surrounded by all kinds of services and commercial establishments. Building with elevator and patio ramp. The house has a distribution of spacious living room, kitchen, 4 bedrooms, bathroom and storage room. It has a balcony overlooking the main street.",False,good,False,,2188.0,True,True,False,False,False,False,,,flat,,"La Magdalena, Zaragoza",Flat in Calle de Miguel Servet,,,,
